,"name","abbreviation","description","formula","subsystem","effect"
1,"EX_7klitchol.e.","EX_7klitchol_e","Exchange of 7-Ketolithocholate","7klitchol_e ⇌ ","Extracellular exchange",3.749809
2,"EX_Lcystin.e.","EX_Lcystin_e","Exchange of L-Cystine ","Lcystin[e] <=> ","Extracellular exchange",3.635241
3,"CYSTSERex","CYSTSERex","L-cystine/glycine exchanger (cystine in)","ser__L_c + cysi__L_e → ser__L_e + cysi__L_c","Transport, extracellular",3.630827
4,"r0835","r0835","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","so4_m + HC00319_c ⇌ so4_c + HC00319_m","Transport, mitochondrial",3.601792
5,"r0836","r0836","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","so3_m + HC00319_c ⇌ so3_c + HC00319_m","Transport, mitochondrial",3.601792
6,"r0821","r0821","Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2","fum[c] + succ[m] <=> fum[m] + succ[c] ","Transport, mitochondrial",3.601741
7,"r0829","r0829","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","succ_c + so4_m ⇌ so4_c + succ_m","Transport, mitochondrial",3.601741
8,"r0830","r0830","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","succ_c + so3_m ⇌ so3_c + succ_m","Transport, mitochondrial",3.601741
9,"CYSTALArBATtc","CYSTALArBATtc","Transport of L-Cystine into the cell in exchange for L-Alanine by b0,+AT transporter at the apical surfaces of the membranes of small intestine and renal cells.","ala__L_c + cysi__L_e → ala__L_e + cysi__L_c","Transport, extracellular",3.59203
10,"FUMSO3tm","FUMSO3tm","Fumarate:sulfite antiport, mitochondrial","fum_c + so3_m ⇌ so3_c + fum_m","Transport, mitochondrial",3.476717
11,"FUMSO4tm","FUMSO4tm","Fumarate:sulfate antiport, mitochondrial","fum_c + so4_m ⇌ so4_c + fum_m","Transport, mitochondrial",3.476717
12,"CYSTLEUrBATtc","CYSTLEUrBATtc","Transport of L-Cystine into the cell in exchange for L-Leucine by b0,+AT transporter at the apical surfaces of the membranes of small intestine and renal cells.","leu__L_c + cysi__L_e → leu__L_e + cysi__L_c","Transport, extracellular",3.396096
13,"12DHCHOLt","12DHCHOLt","12-Dehydrocholic acid transport via bicarbonate countertransport","hco3_c + 12dhchol_e ⇌ hco3_e + 12dhchol_c","Transport, extracellular",3.29017
14,"12DHCHOLt2","12DHCHOLt2","12-Dehydrocholic acid transport via sodium cotransport","2.0 na1_e + 12dhchol_e → 2.0 na1_c + 12dhchol_c","Transport, extracellular",3.29017
15,"3DHCDCHOLt","3DHCDCHOLt","3-Dehydrochenodeoxycholic acid transport via bicarbonate countertransport","hco3_c + 3dhcdchol_e ⇌ hco3_e + 3dhcdchol_c","Transport, extracellular",3.29017
16,"3DHCDCHOLt2","3DHCDCHOLt2","3-Dehydrochenodeoxycholic acid transport via sodium cotransport","2.0 na1_e + 3dhcdchol_e → 2.0 na1_c + 3dhcdchol_c","Transport, extracellular",3.29017
17,"3DHCHOLt","3DHCHOLt","3-Dehydrocholic acid  transport via bicarbonate countertransport","hco3_c + 3dhchol_e ⇌ hco3_e + 3dhchol_c","Transport, extracellular",3.29017
18,"3DHCHOLt2","3DHCHOLt2","3-Dehydrocholic acid  transport via sodium cotransport","2.0 na1_e + 3dhchol_e → 2.0 na1_c + 3dhchol_c","Transport, extracellular",3.29017
19,"3DHDCAt","3DHDCAt","3-dehydro-deoxycholic acid transport via bicarbonate countertransport","hco3_c + 3dhdchol_e ⇌ hco3_e + 3dhdchol_c","Transport, extracellular",3.29017
20,"3DHDCAt2","3DHDCAt2","3-dehydro-deoxycholic acid transport via sodium cotransport","2.0 na1_e + 3dhdchol_e → 2.0 na1_c + 3dhdchol_c","Transport, extracellular",3.29017
21,"3DHLCAt","3DHLCAt","3-dehydro-lithocholic acid transport via bicarbonate countertransport","hco3_c + 3dhlchol_e ⇌ hco3_e + 3dhlchol_c","Transport, extracellular",3.29017
22,"3DHLCAt2","3DHLCAt2","3-dehydro-lithocholic acid transport via sodium cotransport","2.0 na1_e + 3dhlchol_e → 2.0 na1_c + 3dhlchol_c","Transport, extracellular",3.29017
23,"7DHCDCHOLt","7DHCDCHOLt","7-Dehydrochenodeoxycholic acid transport via bicarbonate countertransport","hco3_c + 7dhcdchol_e ⇌ hco3_e + 7dhcdchol_c","Transport, extracellular",3.29017
24,"7DHCDCHOLt2","7DHCDCHOLt2","7-Dehydrochenodeoxycholic acid transport via sodium cotransport","2.0 na1_e + 7dhcdchol_e → 2.0 na1_c + 7dhcdchol_c","Transport, extracellular",3.29017
25,"7DHCHOLt","7DHCHOLt","7-Dehydrocholic acid transport via bicarbonate countertransport","hco3_c + 7dhchol_e ⇌ hco3_e + 7dhchol_c","Transport, extracellular",3.29017
26,"7DHCHOLt2","7DHCHOLt2","7-Dehydrocholic acid transport via sodium cotransport","2.0 na1_e + 7dhchol_e → 2.0 na1_c + 7dhchol_c","Transport, extracellular",3.29017
27,"COPROSTt","COPROSTt","Coprostanol transport via bicarbonate countertransport","hco3_c + coprost_e ⇌ hco3_e + coprost_c","Transport, extracellular",3.29017
28,"COPROSTt2","COPROSTt2","Coprostanol transport via sodium cotransport","2.0 na1_e + coprost_e → 2.0 na1_c + coprost_c","Transport, extracellular",3.29017
29,"HYOCHOLt","HYOCHOLt","Hyocholic acid transport via bicarbonate countertransport","hco3_c + hyochol_e ⇌ hco3_e + hyochol_c","Transport, extracellular",3.29017
30,"HYOCHOLt2","HYOCHOLt2","Hyocholic acid transport via sodium cotransport","2.0 na1_e + hyochol_e → 2.0 na1_c + hyochol_c","Transport, extracellular",3.29017
31,"ICDCHOLt","ICDCHOLt","Isochenodeoxycholic acid transport via bicarbonate countertransport","hco3_c + icdchol_e ⇌ hco3_e + icdchol_c","Transport, extracellular",3.29017
32,"ICDCHOLt2","ICDCHOLt2","Isochenodeoxycholic acid transport via sodium cotransport","2.0 na1_e + icdchol_e → 2.0 na1_c + icdchol_c","Transport, extracellular",3.29017
33,"ISOCHOLt","ISOCHOLt","Isocholic acid transport via bicarbonate countertransport","hco3_c + isochol_e ⇌ hco3_e + isochol_c","Transport, extracellular",3.29017
34,"ISOCHOLt2","ISOCHOLt2","Isocholic acid transport via sodium cotransport","2.0 na1_e + isochol_e → 2.0 na1_c + isochol_c","Transport, extracellular",3.29017
35,"THYOCHOLt","THYOCHOLt","Taurohyocholic acid transport via bicarbonate countertransport","hco3_c + thyochol_e ⇌ hco3_e + thyochol_c","Transport, extracellular",3.29017
36,"THYOCHOLt2","THYOCHOLt2","Taurohyocholic acid transport via sodium cotransport","2.0 na1_e + thyochol_e → 2.0 na1_c + thyochol_c","Transport, extracellular",3.29017
37,"UCHOLt","UCHOLt","Ursocholic acid transport via bicarbonate countertransport","hco3_c + uchol_e ⇌ hco3_e + uchol_c","Transport, extracellular",3.29017
38,"UCHOLt2","UCHOLt2","Ursocholic acid transport via sodium cotransport","2.0 na1_e + uchol_e → 2.0 na1_c + uchol_c","Transport, extracellular",3.29017
39,"UDCHOLt","UDCHOLt","Ursodeoxycholic acid transport via bicarbonate countertransport","hco3_c + HC02194_e ⇌ hco3_e + HC02194_c","Transport, extracellular",3.29017
40,"UDCHOLt2","UDCHOLt2","Ursodeoxycholic acid transport via sodium cotransport","2.0 na1_e + HC02194_e → 2.0 na1_c + HC02194_c","Transport, extracellular",3.29017
41,"3HPVShc","3HPVShc","Oxidation of pravastatin to 3-hydroxy pravastatin in hepatocytes","h_r + nadph_r + o2_r + pvs_r → h2o_r + nadp_r + 3hpvs_r","Drug metabolism",3.269366
42,"EX_3hpvs.e.","EX_3hpvs_e","Exchange reaction for 3-hydroxy pravastatin in portal blood","3hpvs_e ⇌ ","Extracellular exchange",3.269366
43,"3HPVSitr","3HPVSitr","3HPVSitr","3hpvs_r ⇌ 3hpvs_c","Drug metabolism",3.269366
44,"CDCA6AH","CDCA6AH","Chenodeoxycholic acid 6alpha-hydroxylase","h_c + nadph_c + o2_c + C02528_c → h2o_c + nadp_c + hyochol_c","Bile acid synthesis",3.168079
45,"EX_hyochol.e.","EX_hyochol_e","EX hyochol(e)","hyochol_e ⇌ ","Extracellular exchange",3.168079
46,"EX_2hatvlac.e.","EX_2hatvlac_e","Exchange reaction for 2-hydroxy-atorvastatin-lactone in portal blood","2hatvlac_e ⇌ ","Extracellular exchange",3.054063
47,"EX_g1p.e.","EX_g1p_e","D-Glucose 1-phosphate exchange","g1p_e ⇌ ","Extracellular exchange",2.973476
48,"EX_udpg.e.","EX_udpg_e","UDPglucose exchange","udpg_e ⇌ ","Extracellular exchange",2.973476
49,"r0093","r0093","UDPglucose pyrophosphohydrolase Pyrimidine metabolism / Starch and sucrose metabolism EC:3.6.1.45","h2o_e + udpg_e → g1p_e + 2.0 h_e + ump_e","Starch and sucrose metabolism",2.973476
50,"2HATVACIDOXDhc","2HATVACIDOXDhc","Oxidation of atorvastatin acid to 2-hydroxy-atorvastatin-acid in hepatocytes","h_r + nadph_r + o2_r + atvacid_r → h2o_r + nadp_r + 2hatvacid_r","Drug metabolism",2.926627
51,"4HATVACIDOXDhc","4HATVACIDOXDhc","Oxidation of atorvastatin acid to 4-hydroxy-atorvastatin-acid in hepatocytes","h_r + nadph_r + o2_r + atvacid_r → h2o_r + nadp_r + 4hatvacid_r","Drug metabolism",2.926627
52,"4HATVACIDitr","4HATVACIDitr","4HATVACIDitr","4hatvacid_r ⇌ 4hatvacid_c","Drug metabolism",2.926627
53,"2HATVACIDitr","2HATVACIDitr","2HATVACIDitr","2hatvacid_r ⇌ 2hatvacid_c","Drug metabolism",2.926627
54,"3DHCDCAS","3DHCDCAS","3-dehydro-chenodehydroxycholic acid formation","h_c + nadph_c + o2_c + C02528_c → 2.0 h2o_c + nadp_c + 3dhcdchol_c","Bile acid synthesis",2.917112
55,"EX_3dhcdchol.e.","EX_3dhcdchol_e","EX 3dhcdchol(e)","3dhcdchol_e ⇌ ","Extracellular exchange",2.917112
56,"ASPPROASCT1","ASPPROASCT1","Aspartate intake by system ASCT-1 transporter","pro__L_c + asp__L_e + na1_e → asp__L_c + na1_c + pro__L_e","Transport, extracellular",2.890671
57,"GLUPROASCT1","GLUPROASCT1","Glutamate intake by system ASCT-1 transporter","pro__L_c + glu__L_e + na1_e → glu__L_c + na1_c + pro__L_e","Transport, extracellular",2.868818
58,"EX_lca3s.e.","EX_lca3s_e","EX lca3s(e)","lca3s_e ⇌ ","Extracellular exchange",2.833124
59,"LCA3St","LCA3St","Lithocholic acid 3-sulfate transport via bicarbonate countertransport","hco3_c + lca3s_e ⇌ hco3_e + lca3s_c","Transport, extracellular",2.833124
60,"LCASULT","LCASULT","Lithocholic acid sulfotransferase","paps_c + HC02191_c → h_c + pap_c + lca3s_c","Bile acid synthesis",2.833124
61,"EX_ac.e.","EX_ac_e","Acetate exchange","ac_e ⇌ ","Extracellular exchange",2.819856
62,"CYSTGLUex","CYSTGLUex","L-cystine/L-glutamate exchanger","glu__L_c + cysi__L_e → glu__L_e + cysi__L_c","Transport, extracellular",2.788829
63,"EX_his_L.e.","EX_his_L_e","Exchange of L-Histidine","his_L[e] <=> ","Extracellular exchange",2.778213
64,"EX_CE4890.e.","EX_CE4890_e","Exchange of N-Methylsalsolinol","CE4890_e ⇌ ","Extracellular exchange",2.771806
65,"EX_4hatvlac.e.","EX_4hatvlac_e","Exchange reaction for 4-hydroxy-atorvastatin-lactone in portal blood","4hatvlac_e ⇌ ","Extracellular exchange",2.749022
66,"C02712te","C02712te","Transport of N-Acetylmethionine, Extracellular","na1_c + C02712_c ⇌ na1_e + C02712_e","Transport, extracellular",2.728608
67,"EX_C02712.e.","EX_C02712_e","Exchange of N-Acetylmethionine","C02712_e ⇌ ","Extracellular exchange",2.728608
68,"DOPAMT","DOPAMT","Dopamine:amet O-methyltransferase","amet_c + dopa_c → ahcys_c + h_c + 3moxtyr_c","Tyrosine metabolism",2.71463
69,"CRVS1M24hc","CRVS1M24hc","Hydroxylation of cerivastatin-M1 to M24 in hepatocytes","h_r + nadph_r + o2_r + crvsm1_r → h2o_r + nadp_r + crvsm24_r","Drug metabolism",2.689823
70,"CRVSM24tev","CRVSM24tev","Exit of cerivastatin-M24 into hepatic vein","crvsm24_c ⇌ crvsm24_e","Drug metabolism",2.689823
71,"EX_crvsm24.e.","EX_crvsm24_e","Exchange reaction for cerivastatin-M24 in hepatic vein","crvsm24_e ⇌ ","Extracellular exchange",2.689823
72,"CRVSM24itr","CRVSM24itr","CRVSM24itr","crvsm24_r ⇌ crvsm24_c","Drug metabolism",2.689823
73,"CRVSM1hc","CRVSM1hc","Demethylation of cerivastatin to M1 in hepatocytes","2.0 h_r + nadph_r + o2_r + ahcys_r + crvs_r → nadp_r + amet_r + h2o2_r + crvsm1_r","Drug metabolism",2.679881
74,"P4502F1","P4502F1","Cytochrome P450 2F1","h_c + nadph_c + o2_c + npthl_c → h2o_c + nadp_c + onpthl_c","Cytochrome metabolism",2.679511
75,"P4503A5","P4503A5","Cytochrome P450 3A5","h_c + nadph_c + o2_c + aflatoxin_c → h2o_c + nadp_c + eaflatoxin_c","Cytochrome metabolism",2.679511
76,"EX_npthl.e.","EX_npthl_e","Naphthalene exchange","npthl_e ⇌ ","Extracellular exchange",2.679511
77,"NPTHLte","NPTHLte","Xenobiotic transport","npthl_e ⇌ npthl_c","Transport, extracellular",2.679511
78,"EX_aflatoxin.e.","EX_aflatoxin_e","Aflatoxin B1 exchange","aflatoxin_e ⇌ ","Extracellular exchange",2.679511
79,"AFLATOXINte","AFLATOXINte","Xenobiotic transport","aflatoxin_e ⇌ aflatoxin_c","Transport, extracellular",2.679511
80,"EAFLATOXINte","EAFLATOXINte","Xenobiotic transport","eaflatoxin_e ⇌ eaflatoxin_c","Transport, extracellular",2.679511
81,"ONPTHLte","ONPTHLte","Xenobiotic transport","onpthl_e ⇌ onpthl_c","Transport, extracellular",2.679511
82,"EX_eaflatoxin.e.","EX_eaflatoxin_e","8,9 epxoy aflatoxin B1 exchange","eaflatoxin_e ⇌ ","Extracellular exchange",2.679511
83,"EX_onpthl.e.","EX_onpthl_e","Naphthalene epoxide exchange","onpthl_e ⇌ ","Extracellular exchange",2.679511
84,"RE1923C","RE1923C","Catechol O-Methyltransferase","amet_c + C09642_c → ahcys_c + h_c + CE4890_c","Tyrosine metabolism",2.678637
85,"NADPNe","NADPNe","NADP nucleosidase,extracellular","h2o_e + nadp_e → h_e + ncam_e + adprbp_e","NAD metabolism",2.667161
86,"EX_nad.e.","EX_nad_e","Nicotinamide adenine dinucleotide exchange","nad_e ⇌ ","Extracellular exchange",2.667161
87,"EX_nadp.e.","EX_nadp_e","Nicotinamide adenine dinucleotide phosphate exchange","nadp_e ⇌ ","Extracellular exchange",2.667161
88,"CRVS23M24hc","CRVS23M24hc","Demethylation of cerivastatin-M23 to M24 in hepatocytes","2.0 h_r + nadph_r + o2_r + ahcys_r + crvsm23_r → nadp_r + amet_r + h2o2_r + crvsm24_r","Drug metabolism",2.666573
89,"EX_trp_L.e.","EX_trp_L_e","Exchange of L-Tryptophan","trp_L[e] <=> ","Extracellular exchange",2.66621
90,"RE1711C","RE1711C","Alcohol Dehydrogenase","nadp_c + CE1918_c ⇌ h_c + nadph_c + 5hoxindact_c","Tryptophan metabolism",2.657596
91,"3DHLCAS","3DHLCAS","3-dehydro-lithocholic acid formation","h_c + nadph_c + o2_c + HC02191_c → 2.0 h2o_c + nadp_c + 3dhlchol_c","Bile acid synthesis",2.654283
92,"EX_3dhlchol.e.","EX_3dhlchol_e","EX 3dhlchol(e)","3dhlchol_e ⇌ ","Extracellular exchange",2.654283
93,"EX_crvs.e.","EX_crvs_e","Exchange reaction for cerivastatin in intestinal lumen","crvs_e ⇌ ","Extracellular exchange",2.642233
94,"CRVSitr","CRVSitr","CRVSitr","crvs_c ⇌ crvs_r","Drug metabolism",2.642233
95,"GLCt4","GLCt4","Glucose transport via sodium symport","glc__D_e + na1_e ⇌ glc__D_c + na1_c","Transport, extracellular",2.638515
96,"GLCGLUT2","GLCGLUT2","Transport of Glucose into the Portal Blood","glc_D[c] -> glc_D[e] ","Transport, extracellular",2.634697
97,"RE2642C","RE2642C","N-Acyl-Aliphatic-L-Amino Acid Amidohydrolase","CE1554[c] + h2o[c] <=> ac[c] + ala_L[c] ","Alanine and aspartate metabolism",2.632597
98,"CE1554t","CE1554t","Transport of Acetyl-Alanine","CE1554[c] <=> CE1554[e] ","Transport, extracellular",2.632597
99,"EX_CE1554.e.","EX_CE1554_e","Exchange of Acetyl-Alanine","CE1554[e] <=> ","Extracellular exchange",2.632597
100,"RE1919C","RE1919C","RE1919","pyr_c + dopa_c ⇌ h2o_c + CE5626_c","Tyrosine metabolism",2.627964
101,"RE1921C","RE1921C","Aromatic-L-Amino-Acid Decarboxylase","CE5626_c ⇌ co2_c + 2.0 h_c + CE5629_c","Tyrosine metabolism",2.627964
102,"CE5629t","CE5629t","Transport of 6, 7-Dihydroxy-1, 2, 3, 4-Tetrahydroisoquinoline","CE5629_c ⇌ CE5629_e","Transport, extracellular",2.627964
103,"EX_CE5629.e.","EX_CE5629_e","Exchange of 6, 7-Dihydroxy-1, 2, 3, 4-Tetrahydroisoquinoline","CE5629_e ⇌ ","Extracellular exchange",2.627964
104,"HISSNAT5tc","HISSNAT5tc","Transport of L-Histidine with Symport of Sodium And Antiport of Proton by Snat5 Transporter","h_c + his__L_e + na1_e ⇌ his__L_c + na1_c + h_e","Transport, extracellular",2.626751
105,"CRVSM23hc","CRVSM23hc","Hydroxylation of cerivastatin to M23 in hepatocytes","h_r + nadph_r + o2_r + crvs_r → h2o_r + nadp_r + crvsm23_r","Drug metabolism",2.620758
106,"EX_met_L.e.","EX_met_L_e","Exchange of L-Methionine ","met_L[e] <=> ","Extracellular exchange",2.613985
107,"PHEMEe","PHEMEe","Release of Heme into the Blood","pheme[c] -> pheme[e] ","Transport, extracellular",2.613096
108,"EX_pheme.e.","EX_pheme_e","Protoheme exchange","pheme_e ⇌ ","Extracellular exchange",2.613096
109,"3MOXTYRt","3MOXTYRt","Transport of 3-Methoxytyramine, Diffusion","3moxtyr_c ⇌ 3moxtyr_e","Transport, extracellular",2.601694
110,"EX_3moxtyr.e.","EX_3moxtyr_e","3-Methoxytyramine exchange","3moxtyr_e ⇌ ","Extracellular exchange",2.601694
111,"RE1925C","RE1925C","RE1925","acald_c + 3moxtyr_c ⇌ h2o_c + CE4890_c","Tyrosine metabolism",2.601469
112,"RE1918C","RE1918C","RE1918","acald_c + dopa_c ⇌ h2o_c + C09642_c","Tyrosine metabolism",2.59478
113,"C09642te","C09642te","Facilitated Diffusion Through Uniport Oct2 into Extracellular Space","C09642_c ⇌ C09642_e","Transport, extracellular",2.59455
114,"EX_C09642.e.","EX_C09642_e","Exchange of (-)-Salsolinol","C09642_e ⇌ ","Extracellular exchange",2.59455
115,"35DHPVShc","35DHPVShc","Conversion of pravastatin to 3-alpha-5-beta-dihydroxy pravastatin in entercoytes","h_r + 2.0 nadph_r + 2.0 o2_r + pvs_r → 2.0 h2o_r + 2.0 nadp_r + 35dhpvs_r","Drug metabolism",2.591604
116,"EX_35dhpvs.e.","EX_35dhpvs_e","Exchange reaction for 3-alpha-5-beta-dihydroxy pravastatin in portal blood","35dhpvs_e ⇌ ","Extracellular exchange",2.591604
117,"35DHPVSitr","35DHPVSitr","35DHPVSitr","35dhpvs_r ⇌ 35dhpvs_c","Drug metabolism",2.591604
118,"EX_Nacasp.e.","EX_Nacasp_e","Exchange of N-Acetyl-L-Aspartate","Nacasp_e ⇌ ","Extracellular exchange",2.589259
119,"NACASPt","NACASPt","Transport of N-Acetyl-L-Aspartate","3.0 na1_c + Nacasp_c ⇌ 3.0 na1_e + Nacasp_e","Transport, extracellular",2.589259
120,"EX_argserser.e.","EX_argserser_e","Exchange of ArgSerSer","argserser_e ⇌ ","Extracellular exchange",2.582939
121,"ARGSERSERt","ARGSERSERt","Transport of ArgSerSer, Extracellular","h_e + argserser_e ⇌ h_c + argserser_c","Transport, extracellular",2.582939
122,"ARGSERSERr","ARGSERSERr","Metabolism (Formation/Degradation) of ArgSerSer","2.0 h2o_c + argserser_c ⇌ arg__L_c + 2.0 ser__L_c","Peptide metabolism",2.582939
123,"EX_udca3s.e.","EX_udca3s_e","EX udca3s(e)","udca3s_e ⇌ ","Extracellular exchange",2.581733
124,"UDCA3St","UDCA3St","Ursodeoxycholic acid 3-sulfate transport via bicarbonate countertransport","hco3_c + udca3s_e ⇌ hco3_e + udca3s_c","Transport, extracellular",2.581733
125,"UDCASULT","UDCASULT","Ursodeoxycholic acid sulfotransferase","paps_c + HC02194_c → h_c + pap_c + udca3s_c","Bile acid synthesis",2.581733
126,"HMR_6790","HMR_6790","Aldehyde Dehydrogenase [NAD (P)+]","4hoxpacd[c] + h2o[c] + nad[c] -> 4hphac[c] + 2.0 h[c] + nadh[c] ","Phenylalanine metabolism",2.571468
127,"EX_2hatvacid.e.","EX_2hatvacid_e","Exchange reaction for 2-hydroxy-atorvastatin-acid in portal blood","2hatvacid_e ⇌ ","Extracellular exchange",2.565865
128,"EX_4hatvacid.e.","EX_4hatvacid_e","Exchange reaction for 4-hydroxy-atorvastatin-acid in portal blood","4hatvacid_e ⇌ ","Extracellular exchange",2.565865
129,"RE1860E","RE1860E","2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase","23cump_e + h2o_e ⇌ 3ump_e + h_e","Miscellaneous",2.547257
130,"EX_23cump.e.","EX_23cump_e","2',3'-Cyclic UMP exchange","23cump_e ⇌ ","Extracellular exchange",2.547257
131,"EX_3ump.e.","EX_3ump_e","3'-UMP exchange","3ump_e ⇌ ","Extracellular exchange",2.547257
132,"EX_HC00955.e.","EX_HC00955_e","L-3-Cyanoalanine exchange","HC00955_e ⇌ ","Extracellular exchange",2.543421
133,"LEULEUt","LEULEUt","Transport of Leucylleucine, Reversible","leuleu_c ⇌ leuleu_e","Transport, extracellular",2.524628
134,"SELt4_3","SELt4_3","Selenate Transport via Sodium Symport","3.0 na1[e] + sel[e] <=> 3.0 na1[c] + sel[c] ","Transport, extracellular",2.521544
135,"r0027","r0027","NADPH:CoA-glutathione oxidoreductase EC:1.8.1.9","2.0 cys__L_c + nadp_c ⇌ h_c + nadph_c + cysi__L_c","Methionine and cysteine metabolism",2.518283
136,"GTHO","GTHO","Glutathione Oxidoreductase","gthox[c] + h[c] + nadph[c] -> 2.0 gthrd[c] + nadp[c] ","Glutamate metabolism",2.518283
137,"CYSGLTH","CYSGLTH","Glutathione:cystine oxidoreductase","2.0 gthrd_c + cysi__L_c ⇌ 2.0 cys__L_c + gthox_c","Methionine and cysteine metabolism",2.518283
138,"GLYAMDTRc","GLYAMDTRc","Glycine amidinotransferase (c)","arg__L_c + gly_c ⇌ orn_c + gudac_c","Urea cycle",2.503827
139,"PVSHtu","PVSHtu","Uptake of pravastatin by enterocytes via proton coupled mechanism","h_e + pvs_e ⇌ h_c + pvs_c","Drug metabolism",2.500832
140,"r0819","r0819","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","akg_c + succ_m ⇌ succ_c + akg_m","Transport, mitochondrial",2.490522
141,"AKGMALtm","AKGMALtm","Dicarboxylate/tricarboxylate carrier (mal:akg), mitochondrial","mal__L_c + akg_m ⇌ akg_c + mal__L_m","Transport, mitochondrial",2.490522
142,"4HATVLACOXDhc","4HATVLACOXDhc","Oxidation of atorvastatin lactone to 4-hydroxy-atorvastatin-lactone in hepatocytes","h_r + nadph_r + o2_r + atvlac_r → h2o_r + nadp_r + 4hatvlac_r","Drug metabolism",2.489492
143,"4HATVLACitr","4HATVLACitr","4HATVLACitr","4hatvlac_r ⇌ 4hatvlac_c","Drug metabolism",2.489492
144,"ATVLACitr","ATVLACitr","ATVLACitr","atvlac_c ⇌ atvlac_r","Drug metabolism",2.489492
145,"EX_CE5786.e.","EX_CE5786_e","Kinetensin exchange","CE5786_e ⇌ ","Extracellular exchange",2.486411
146,"PHYCBOXL","PHYCBOXL","L-Phenylalanine carboxy-lyase","h_c + phe__L_c → co2_c + peamn_c","Phenylalanine metabolism",2.485544
147,"PEAMNO","PEAMNO","Phenethylamine oxidase","h2o_c + o2_c + peamn_c → h2o2_c + nh4_c + pacald_c","Phenylalanine metabolism",2.485544
148,"r0547","r0547","Aldehyde:NADP+ Oxidoreductase Phenylalanine Metabolism","h2o[c] + nadp[c] + pacald[c] <=> 2.0 h[c] + nadph[c] + pac[c] ","Phenylalanine metabolism",2.485544
149,"pac","pac","Transport of Phenylacetate by Diffusion","pac_c ⇌ pac_e","Transport, extracellular",2.485544
150,"EX_pac.e.","EX_pac_e","Phenylacetic acid exchange","pac_e ⇌ ","Extracellular exchange",2.485544
151,"EX_glutrpala.e.","EX_glutrpala_e","Exchange of GluTrpAla","glutrpala_e ⇌ ","Extracellular exchange",2.463443
152,"GLUTRPALAt","GLUTRPALAt","Transport of GluTrpAla, Extracellular","h_e + glutrpala_e ⇌ h_c + glutrpala_c","Transport, extracellular",2.463443
153,"GLUTRPALAr","GLUTRPALAr","Metabolism (Formation/Degradation) of GluTrpAla","2.0 h2o_c + glutrpala_c ⇌ ala__L_c + glu__L_c + trp__L_c","Peptide metabolism",2.463443
154,"TYROXDAc","TYROXDAc","Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (cytosol)","h2o_c + o2_c + tym_c → h2o2_c + nh4_c + 4hoxpacd_c","Tyrosine metabolism",2.460781
155,"4HOXPACDOX_NADP_","4HOXPACDOX_NADP_","4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase","4hoxpacd[c] + h2o[c] + nadp[c] <=> 4hphac[c] + 2.0 h[c] + nadph[c] ","Tyrosine metabolism",2.460781
