,"name","abbreviation","description","formula","subsystem","effect"
156,"HPACtr","HPACtr","Hydroxyphenylacetate transport via diffusion","4hphac_c ⇌ 4hphac_e","Transport, extracellular",2.460781
157,"EX_4hphac.e.","EX_4hphac_e","4 hydroxyphenylacetate exchange","4hphac_e ⇌ ","Extracellular exchange",2.460781
158,"2HIBUP_Rthv","2HIBUP_Rthv","Release of R-2-hydroxy-ibuprofen into hepatic vein","2hibup__R_c ⇌ 2hibup__R_e","Drug metabolism",2.452798
159,"3HIBUP_Rthv","3HIBUP_Rthv","Release of R-3-hydroxy-ibuprofen into hepatic vein","3hibup__R_c ⇌ 3hibup__R_e","Drug metabolism",2.452798
160,"EX_2hibup_R.e.","EX_2hibup_R_e","exchange reaction for R-2-hydroxy-ibuprofen in hepatic vein","2hibup_R[e] <=> ","Extracellular exchange",2.452798
161,"EX_3hibup_R.e.","EX_3hibup_R_e","exchange reaction for R-3-hydroxy-ibuprofen in hepatic vein","3hibup_R[e] <=> ","Extracellular exchange",2.452798
162,"IBUP_RCYP2hep","IBUP_RCYP2hep","Oxidation of R-ibuprofen to 2-hydroxy-ibuprofen in heaptocytes","h_r + nadph_r + o2_r + ibup__R_r → h2o_r + nadp_r + 2hibup__R_r","Drug metabolism",2.452798
163,"IBUP_RCYP3hep","IBUP_RCYP3hep","Oxidation of R-ibuprofen to 3-hydroxy-ibuprofen in heaptocytes","h_r + nadph_r + o2_r + ibup__R_r → h2o_r + nadp_r + 3hibup__R_r","Drug metabolism",2.452798
164,"2HIBUP_Ritr","2HIBUP_Ritr","2HIBUP Ritr","2hibup__R_r ⇌ 2hibup__R_c","Drug metabolism",2.452798
165,"3HIBUP_Ritr","3HIBUP_Ritr","3HIBUP Ritr","3hibup__R_r ⇌ 3hibup__R_c","Drug metabolism",2.452798
166,"IBUP_Ritr","IBUP_Ritr","IBUP Ritr","ibup__R_c ⇌ ibup__R_r","Drug metabolism",2.452798
167,"r2535","r2535","Major Facilitator(MFS) TCDB:2.A.1.44.1","hom__L_e ⇌ hom__L_c","Transport, extracellular",2.444307
168,"HISTASE","HISTASE","HISTASE","h2o_c + o2_c + hista_c → h2o2_c + nh4_c + im4act_c","Histidine metabolism",2.443424
169,"IMACTD","IMACTD","Imidazole acetaldeyde dehydrogenase","h2o_c + nad_c + im4act_c → 2.0 h_c + nadh_c + im4ac_c","Histidine metabolism",2.443424
170,"IM4ACte","IM4ACte","Assumed Passive Diffusion into Extracellular Space","im4ac_e ⇌ im4ac_c","Transport, extracellular",2.443424
171,"EX_im4ac.e.","EX_im4ac_e","Exchange of Imidazol-4-Ylacetate","im4ac_e ⇌ ","Extracellular exchange",2.443424
172,"RE2269E","RE2269E","Chymase","2.0 h2o_e + CE5786_e ⇌ leu__L_e + phe__L_e + CE5788_e","Miscellaneous",2.441261
173,"EX_CE5788.e.","EX_CE5788_e","Kinetensin 1-7 exchange","CE5788_e ⇌ ","Extracellular exchange",2.441261
174,"2HIBUP_Sthv","2HIBUP_Sthv","Release of S-2-hydroxy-ibuprofen into hepatic vein","2hibup__S_c ⇌ 2hibup__S_e","Drug metabolism",2.434643
175,"3HIBUP_Sthv","3HIBUP_Sthv","Release of S-3-hydroxy-ibuprofen into hepatic vein","3hibup__S_c ⇌ 3hibup__S_e","Drug metabolism",2.434643
176,"EX_2hibup_S.e.","EX_2hibup_S_e","exchange reaction for S-2-hydroxy-ibuprofen in hepatic vein","2hibup_S[e] <=> ","Extracellular exchange",2.434643
177,"EX_3hibup_S.e.","EX_3hibup_S_e","exchange reaction for S-3-hydroxy-ibuprofen in hepatic vein","3hibup_S[e] <=> ","Extracellular exchange",2.434643
178,"IBUP_SCYP2hep","IBUP_SCYP2hep","Oxidation of S-ibuprofen to 2-hydroxy-ibuprofen in heaptocytes","h_r + nadph_r + o2_r + ibup__S_r → h2o_r + nadp_r + 2hibup__S_r","Drug metabolism",2.434643
179,"IBUP_SCYP3hep","IBUP_SCYP3hep","Oxidation of S-ibuprofen to 3-hydroxy-ibuprofen in heaptocytes","h_r + nadph_r + o2_r + ibup__S_r → h2o_r + nadp_r + 3hibup__S_r","Drug metabolism",2.434643
180,"2HIBUP_Sitr","2HIBUP_Sitr","2HIBUP Sitr","2hibup__S_r ⇌ 2hibup__S_c","Drug metabolism",2.434643
181,"3HIBUP_Sitr","3HIBUP_Sitr","3HIBUP Sitr","3hibup__S_r ⇌ 3hibup__S_c","Drug metabolism",2.434643
182,"3MHISt2","3MHISt2","Transport of Methyl-Histidine by System L Transport (Lat1)","leu__L_c + 3mhis_e ⇌ leu__L_e + 3mhis_c","Transport, extracellular",2.426581
183,"EX_retinol.e.","EX_retinol_e","Retinol exchange","retinol_e ⇌ ","Extracellular exchange",2.404648
184,"HMR_9561","HMR_9561","HMR 9561","h2o_e + M02837_e → hdca_e + retinol_e","Miscellaneous",2.404648
185,"EX_M02837.e.","EX_M02837_e","EX M02837[e]","M02837_e ⇌ ","Extracellular exchange",2.404648
186,"EX_trpaspasp.e.","EX_trpaspasp_e","Exchange of TrpAspAsp","trpaspasp_e ⇌ ","Extracellular exchange",2.402464
187,"TRPASPASPt","TRPASPASPt","Transport of TrpAspAsp, Extracellular","h_e + trpaspasp_e ⇌ h_c + trpaspasp_c","Transport, extracellular",2.402464
188,"TRPASPASPr","TRPASPASPr","Metabolism (Formation/Degradation) of TrpAspAsp","2.0 h2o_c + trpaspasp_c ⇌ 2.0 asp__L_c + trp__L_c","Peptide metabolism",2.402464
189,"EX_gluglu.e.","EX_gluglu_e","Exchange of GluGlu","gluglu_e ⇌ ","Extracellular exchange",2.398719
190,"GLUGLUt","GLUGLUt","Transport of GluGlu, Extracellular","h_e + gluglu_e ⇌ h_c + gluglu_c","Transport, extracellular",2.398719
191,"GLUGLUr","GLUGLUr","Metabolism (Formation/Degradation) of GluGlu","h2o_c + gluglu_c ⇌ 2.0 glu__L_c","Peptide metabolism",2.398719
192,"RE2127C","RE2127C","Catechol O-Methyltransferase","amet_c + bgly_c → ahcys_c + h_c + CE2934_c","Miscellaneous",2.396756
193,"EX_CE2934.e.","EX_CE2934_e","Exchange of O-Methylhippurate","CE2934_e ⇌ ","Extracellular exchange",2.396756
194,"CE2934t","CE2934t","Transport of O-Methylhippurate, Extracellular","CE2934_c ⇌ CE2934_e","Transport, extracellular",2.396756
195,"2HATVACIDtep","2HATVACIDtep","Efflux of 2-hydroxy-atorvastatin-acid into portal blood","2hatvacid_c ⇌ 2hatvacid_e","Drug metabolism",2.390117
196,"2HATVACIDthc","2HATVACIDthc","Uptake of 2-hydroxy-atorvastatin-acid into hepatocytes","hco3_c + 2hatvacid_e ⇌ hco3_e + 2hatvacid_c","Drug metabolism",2.390117
197,"2HATVLACtep","2HATVLACtep","Efflux of 2-hydroxy-atorvastatin-lactone into portal blood","2hatvlac_c ⇌ 2hatvlac_e","Drug metabolism",2.390117
198,"2HATVLACthc","2HATVLACthc","Uptake of 2-hydroxy-atorvastatin-lactone into hepatocytes","hco3_c + 2hatvlac_e ⇌ hco3_e + 2hatvlac_c","Drug metabolism",2.390117
199,"35DHPVStep","35DHPVStep","3-alpha-5-beta-dihydroxy pravastatin exit into portal blood","35dhpvs_c ⇌ 35dhpvs_e","Drug metabolism",2.390117
200,"35DHPVSthc","35DHPVSthc","Uptake of 3-alpha-5-beta-dihydroxy pravastatin by hepatocytes","hco3_c + 35dhpvs_e ⇌ hco3_e + 35dhpvs_c","Drug metabolism",2.390117
201,"3HPVStep","3HPVStep","3-hydroxy pravastatin exit into portal blood","3hpvs_c ⇌ 3hpvs_e","Drug metabolism",2.390117
202,"3HPVSthc","3HPVSthc","Uptake of 3-hydroxy pravastatin by hepatocytes","hco3_c + 3hpvs_e ⇌ hco3_e + 3hpvs_c","Drug metabolism",2.390117
203,"3ISPVStep","3ISPVStep","3-alpha-iso-pravastatin exit into portal blood","3ispvs_c ⇌ 3ispvs_e","Drug metabolism",2.390117
204,"3ISPVSthc","3ISPVSthc","Uptake of 3-alpha-iso-pravastatin by hepatocytes","hco3_c + 3ispvs_e ⇌ hco3_e + 3ispvs_c","Drug metabolism",2.390117
205,"4HATVACIDtep","4HATVACIDtep","Efflux of 4-hydroxy-atorvastatin-acid into portal blood","4hatvacid_c ⇌ 4hatvacid_e","Drug metabolism",2.390117
206,"4HATVACIDthc","4HATVACIDthc","Uptake of 4-hydroxy-atorvastatin-acid into hepatocytes","hco3_c + 4hatvacid_e ⇌ hco3_e + 4hatvacid_c","Drug metabolism",2.390117
207,"4HATVLACtep","4HATVLACtep","Efflux of 4-hydroxy-atorvastatin-lactone into portal blood","4hatvlac_c ⇌ 4hatvlac_e","Drug metabolism",2.390117
208,"4HATVLACthc","4HATVLACthc","Uptake of 4-hydroxy-atorvastatin-lactone into hepatocytes","hco3_c + 4hatvlac_e ⇌ hco3_e + 4hatvlac_c","Drug metabolism",2.390117
209,"6EPVStep","6EPVStep","6-epi-pravastatin exit into portal blood","6epvs_c ⇌ 6epvs_e","Drug metabolism",2.390117
210,"6EPVSthc","6EPVSthc","Uptake of 6-epi-pravastatin by hepatocytes","hco3_c + 6epvs_e ⇌ hco3_e + 6epvs_c","Drug metabolism",2.390117
211,"ATVLACThc","ATVLACThc","Uptake of atorvastatin-lactone into hepatocytes","hco3_c + atvlac_e ⇌ hco3_e + atvlac_c","Drug metabolism",2.390117
212,"ATVLACtdhc","ATVLACtdhc","Passive diffusion of atorvastatin lactone into hepatocytes","atvlac_e ⇌ atvlac_c","Drug metabolism",2.390117
213,"CE1918te","CE1918te","Transport by Oat1/Oat3 into Extracellular Space","akg_c + CE1918_e ⇌ akg_e + CE1918_c","Transport, extracellular",2.388349
214,"EX_CE1918.e.","EX_CE1918_e","Exchange of 5-Hydroxytryptophol","CE1918_e ⇌ ","Extracellular exchange",2.388349
215,"EX_21hprgnlone.e.","EX_21hprgnlone_e","Exchange of 21-Hydroxypregnenolone","21hprgnlone_e ⇌ ","Extracellular exchange",2.387599
216,"PROGLYPRO1c","PROGLYPRO1c","Hydrolysis of Glycylproline","h2o[c] + progly[c] <=> gly[c] + pro_L[c] ","Transport, extracellular",2.381949
217,"EX_progly.e.","EX_progly_e","L-Prolinylglycine exchange","progly_e ⇌ ","Extracellular exchange",2.37746
218,"EX_glypro.e.","EX_glypro_e","Glycylproline exchange","glypro_e ⇌ ","Extracellular exchange",2.37746
219,"GLYPROPRO1c","GLYPROPRO1c","Hydrolysis of Prolylglycine in the small intestine for cellular uptake","h2o_c + glypro_c ⇌ gly_c + pro__L_c","Transport, extracellular",2.37746
220,"7BHGLZhr","7BHGLZhr","Oxidation of gliclazide to 7-beta-OH-gliclazide in hepatocytes","h_r + nadph_r + o2_r + glz_r → h2o_r + nadp_r + 7bhglz_r","Drug metabolism",2.373824
221,"7BHGLZtev","7BHGLZtev","Excretion of 7-beta-OH-gliclazide into hepatic vein","7bhglz_c ⇌ 7bhglz_e","Drug metabolism",2.373824
222,"EX_7bhglz.e.","EX_7bhglz_e","Exchange reaction for 7-beta-OH-gliclazide in hepatic vein","7bhglz_e ⇌ ","Extracellular exchange",2.373824
223,"7BHGLZitr","7BHGLZitr","7BHGLZitr","7bhglz_r ⇌ 7bhglz_c","Drug metabolism",2.373824
224,"HMR_9652","HMR_9652","HMR 9652","homoval_c → homoval_e","Transport, extracellular",2.368633
225,"HOMOVALte","HOMOVALte","Transport of Homovanillate by Oat3","akg_e + homoval_c ⇌ akg_c + homoval_e","Transport, extracellular",2.368633
226,"3OHGLUTACte","3OHGLUTACte","Transport of 3-Hydroxy-Glutarate, Extracellular","3ohglutac_c → 3ohglutac_e","Transport, extracellular",2.368633
227,"3OHGLUTACOAT3t","3OHGLUTACOAT3t","Transport of 3-Hydroxy-Glutarate, Extracellular, Antiport","akg_e + 3ohglutac_c ⇌ akg_c + 3ohglutac_e","Transport, extracellular",2.368633
228,"2HYDOGOAT3t","2HYDOGOAT3t","Transport of 2-Hydroxy-Glutarate, Extracellular, Antiport","akg_e + 2hydog_c ⇌ akg_c + 2hydog_e","Transport, extracellular",2.368633
229,"2HYDOGte","2HYDOGte","Transport of 2-Hydroxy-Glutarate, Extracellular","2hydog_c → 2hydog_e","Transport, extracellular",2.368633
230,"GLUTAROAT3t","GLUTAROAT3t","Transport of Glutarate, Extracellular, Antiport","akg_e + glutar_c ⇌ akg_c + glutar_e","Transport, extracellular",2.368633
231,"GLUTARte","GLUTARte","Transport of Glutarate, Extracellular","glutar_c → glutar_e","Transport, extracellular",2.368633
232,"r0822","r0822","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","fum_c + mal__L_m ⇌ mal__L_c + fum_m","Transport, mitochondrial",2.36483
233,"MALSO4tm","MALSO4tm","Malate:sulfate antiport, mitochondrial","mal__L_c + so4_m ⇌ so4_c + mal__L_m","Transport, mitochondrial",2.36483
234,"MALSO3tm","MALSO3tm","Malate:sulfite antiport, mitochondrial","mal__L_c + so3_m ⇌ so3_c + mal__L_m","Transport, mitochondrial",2.36483
235,"FUMTSULtm","FUMTSULtm","Fumarate:thiosulfate antiport, mitochondrial","fum_c + tsul_m ⇌ tsul_c + fum_m","Transport, mitochondrial",2.36483
236,"MALTSULtm","MALTSULtm","Malate:thiosulfate antiport, mitochondrial","mal__L_c + tsul_m ⇌ tsul_c + mal__L_m","Transport, mitochondrial",2.36483
237,"EX_CE1261.e.","EX_CE1261_e","Exchange of 5-S-Cysteinyldopa","CE1261_e ⇌ ","Extracellular exchange",2.361702
238,"EX_tudca3s.e.","EX_tudca3s_e","EX tudca3s(e)","tudca3s_e ⇌ ","Extracellular exchange",2.359532
239,"TUDCA3St","TUDCA3St","Tauroursodeoxycholic acid 3-sulfate transport via bicarbonate countertransport","hco3_c + tudca3s_e ⇌ hco3_e + tudca3s_c","Transport, extracellular",2.359532
240,"TUDCASULT","TUDCASULT","Tauroursodeoxycholic acid sulfotransferase","paps_c + HC02195_c → h_c + pap_c + tudca3s_c","Bile acid synthesis",2.359532
241,"CYSB0AT3tc","CYSB0AT3tc","Cysteine Transport by B0At3","cl_e + cys__L_e + na1_e → cl_c + cys__L_c + na1_c","Transport, extracellular",2.357479
242,"EX_mhglz.e.","EX_mhglz_e","Exchange reaction for Methyl-hydroxy-gliclazide in hepatic vein","mhglz_e ⇌ ","Extracellular exchange",2.355456
243,"MHGLZhr","MHGLZhr","Oxidation of gliclazide to methyl-hydroxy-gliclazide in hepatocytes","h_r + nadph_r + o2_r + glz_r → h2o_r + nadp_r + mhglz_r","Drug metabolism",2.355456
244,"MHGLZtev","MHGLZtev","Excretion of Methyl-hydroxy-gliclazide into hepatic vein","mhglz_c ⇌ mhglz_e","Drug metabolism",2.355456
245,"MHGLZitr","MHGLZitr","MHGLZitr","mhglz_r ⇌ mhglz_c","Drug metabolism",2.355456
246,"3MHISt1","3MHISt1","Transport of Methyl-Histidine by System N Transport","na1_c + 3mhis_c ⇌ na1_e + 3mhis_e","Transport, extracellular",2.351169
247,"EX_CE0074.e.","EX_CE0074_e","Alloxan exchange","CE0074_e ⇌ ","Extracellular exchange",2.330996
248,"EX_urea.e.","EX_urea_e","Urea exchange","urea_e ⇌ ","Extracellular exchange",2.330996
249,"3MHISt3","3MHISt3","Transport of Methyl-Histidine by System L Transport (Lat2)","phe__L_c + 3mhis_e ⇌ phe__L_e + 3mhis_c","Transport, extracellular",2.330777
250,"EX_valleuphe.e.","EX_valleuphe_e","Exchange of ValLeuPhe","valleuphe_e ⇌ ","Extracellular exchange",2.328132
251,"VALLEUPHEt","VALLEUPHEt","Transport of ValLeuPhe, Extracellular","h_e + valleuphe_e ⇌ h_c + valleuphe_c","Transport, extracellular",2.328132
252,"VALLEUPHEr","VALLEUPHEr","Metabolism (Formation/Degradation) of ValLeuPhe","2.0 h2o_c + valleuphe_c ⇌ leu__L_c + phe__L_c + val__L_c","Peptide metabolism",2.328132
253,"URATEt","URATEt","Urate export from cytosol","urate_c → urate_e","Transport, extracellular",2.326148
254,"IBUP_Rtdhep","IBUP_Rtdhep","Uptake of ibuprofen-R into hepatocytes","urate_c + ibup__R_e ⇌ urate_e + ibup__R_c","Drug metabolism",2.326148
255,"IBUP_Rtdu","IBUP_Rtdu","Passive diffusion of ibuprofen R","ibup__R_e ⇌ ibup__R_c","Drug metabolism",2.326148
256,"IBUP_Stdhep","IBUP_Stdhep","Uptake of ibuprofen-S into hepatocytes","urate_c + ibup__S_e ⇌ urate_e + ibup__S_c","Drug metabolism",2.326148
257,"IBUP_Stdu","IBUP_Stdu","Passive diffusion of ibuprofen S","ibup__S_e ⇌ ibup__S_c","Drug metabolism",2.326148
258,"3ISPVShc","3ISPVShc","Isomerization of pravastatin to 3-alpha-iso-pravastatin in hepatocytes","pvs_c → 3ispvs_c","Drug metabolism",2.316619
259,"6EPVShc","6EPVShc","Isomerization of pravastatin to 6-epi-pravastatin in hepatocytes","pvs_c → 6epvs_c","Drug metabolism",2.316619
260,"EX_6epvs.e.","EX_6epvs_e","Exchange reaction for 6-epi-pravastatin in portal blood","6epvs_e ⇌ ","Extracellular exchange",2.316619
261,"EX_pvs.e.","EX_pvs_e","Exchange reaction for pravastatin in intestinal lumen","pvs_e ⇌ ","Extracellular exchange",2.316619
262,"EX_aspvalasn.e.","EX_aspvalasn_e","Exchange of AspValAsn","aspvalasn_e ⇌ ","Extracellular exchange",2.314442
263,"ASPVALASNt","ASPVALASNt","Transport of AspValAsn, Extracellular","h_e + aspvalasn_e ⇌ h_c + aspvalasn_c","Transport, extracellular",2.314442
264,"ASPVALASNr","ASPVALASNr","Metabolism (Formation/Degradation) of AspValAsn","2.0 h2o_c + aspvalasn_c ⇌ asn__L_c + asp__L_c + val__L_c","Peptide metabolism",2.314442
265,"RE1915C","RE1915C","RE1915C","cys__L_c + dopaqn_c ⇌ CE1261_c","Tyrosine metabolism",2.314214
266,"CE1261t","CE1261t","Transport of 5-S-Cysteinyldopa","CE1261_c ⇌ CE1261_e","Transport, extracellular",2.314214
267,"EX_trpthrglu.e.","EX_trpthrglu_e","Exchange of TrpThrGlu","trpthrglu_e ⇌ ","Extracellular exchange",2.313541
268,"TRPTHRGLUt","TRPTHRGLUt","Transport of TrpThrGlu, Extracellular","h_e + trpthrglu_e ⇌ h_c + trpthrglu_c","Transport, extracellular",2.313541
269,"TRPTHRGLUr","TRPTHRGLUr","Metabolism (Formation/Degradation) of TrpThrGlu","2.0 h2o_c + trpthrglu_c ⇌ glu__L_c + thr__L_c + trp__L_c","Peptide metabolism",2.313541
270,"EX_argleuphe.e.","EX_argleuphe_e","Exchange of ArgLeuPhe","argleuphe_e ⇌ ","Extracellular exchange",2.30969
271,"ARGLEUPHEt","ARGLEUPHEt","Transport of ArgLeuPhe, Extracellular","h_e + argleuphe_e ⇌ h_c + argleuphe_c","Transport, extracellular",2.30969
272,"ARGLEUPHEr","ARGLEUPHEr","Metabolism (Formation/Degradation) of ArgLeuPhe","2.0 h2o_c + argleuphe_c ⇌ arg__L_c + leu__L_c + phe__L_c","Peptide metabolism",2.30969
273,"CARIBUP_Sthv","CARIBUP_Sthv","Release of S-carboxy ibuprofen into hepatic vein","caribup_s_c ⇌ caribup_s_e","Drug metabolism",2.308289
274,"EX_caribup_s.e.","EX_caribup_s_e","Exchange reaction for S-carboxy ibuprofen in hepatic vein","caribup_s_e ⇌ ","Extracellular exchange",2.308289
275,"IBUP_SCYPCARhep","IBUP_SCYPCARhep","Oxidation of S-3-hydroxy ibuprofen to S-carboxy ibuprofen","o2_c + 3hibup__S_c → h_c + h2o_c + caribup_s_c","Drug metabolism",2.308289
276,"HMR_6876","HMR_6876","HMR 6876","2c23dh56dhoxin_c + dopaqn_c ⇌ 34dhphe_c + L_dpchrm_c","Phenylalanine metabolism",2.306684
277,"EX_CE4633.e.","EX_CE4633_e","Hypochlorous acid exchange","CE4633_e ⇌ ","Extracellular exchange",2.288478
278,"r0758","r0758","5-Hydroxyindoleacetaldehyde:NAD+ Oxidoreductase","5hoxindact[c] + h2o[c] + nad[c] <=> 5hoxindoa[c] + 2.0 h[c] + nadh[c] ","Tryptophan metabolism",2.273544
279,"5HOXINDOAtr","5HOXINDOAtr","Transport of 5-Hydroxyindoleacetate ","so4_c + 5hoxindoa_e ⇌ so4_e + 5hoxindoa_c","Transport, extracellular",2.273544
280,"EX_5hoxindoa.e.","EX_5hoxindoa_e","Exchange of 5-Hydroxyindoleacetate","5hoxindoa_e ⇌ ","Extracellular exchange",2.273544
281,"EX_3ispvs.e.","EX_3ispvs_e","Exchange reaction for 3-alpha-iso-pravastatin in portal blood","3ispvs_e ⇌ ","Extracellular exchange",2.272256
282,"FVStep","FVStep","Efflux of fluvastatin from enterocytes into portal blood","fvs_c ⇌ fvs_e","Drug metabolism",2.26309
283,"FVStu","FVStu","Uptake of fluvastatin by enterocytes","hco3_c + fvs_e ⇌ hco3_e + fvs_c","Drug metabolism",2.26309
284,"PVStep","PVStep","Pravastatin exit into portal blood","pvs_c ⇌ pvs_e","Drug metabolism",2.26309
285,"EX_lnlc.e.","EX_lnlc_e","Linoleic acid (all cis C18:2) exchange","lnlc_e ⇌ ","Extracellular exchange",2.261144
286,"EX_ser_L.e.","EX_ser_L_e","Exchange of L-Serine","ser_L[e] <=> ","Extracellular exchange",2.249267
287,"56EPPVStev","56EPPVStev","Exit of 5,6-epoxy-3-alpha-iso-pravastatin into hepatic vein","56eppvs_c ⇌ 56eppvs_e","Drug metabolism",2.235197
288,"7HPVStev","7HPVStev","Exit of 7-hydroxy-3-alpha-iso-pravastatin into hepatic vein","7hpvs_c ⇌ 7hpvs_e","Drug metabolism",2.235197
289,"PVSOATPtu","PVSOATPtu","Uptake of pravastatin by enterocytes","hco3_c + pvs_e ⇌ hco3_e + pvs_c","Drug metabolism",2.234251
290,"HMR_8796","HMR_8796","Glycine N-Acyltransferase","gly[c] + phaccoa[c] -> coa[c] + M02723[c","Phenylalanine metabolism",2.230393
291,"EX_gdca3s.e.","EX_gdca3s_e","EX gdca3s(e)","gdca3s_e ⇌ ","Extracellular exchange",2.223356
292,"GDCA3St","GDCA3St","Glycodeoxycholic acid 3-sulfate via bicarbonate countertransport","hco3_c + gdca3s_e ⇌ hco3_e + gdca3s_c","Transport, extracellular",2.223356
293,"GDCASULT","GDCASULT","Glycodeoxycholic acid sulfotransferase","paps_c + M01989_c → h_c + pap_c + gdca3s_c","Bile acid synthesis",2.223356
294,"PHACGLYc","PHACGLYc","Glycine N-Acyltransferase, Phenylacetate","gly_c + phaccoa_c → coa_c + h_c + phacgly_c","Valine, leucine, and isoleucine metabolism",2.209315
295,"PHACGLYt","PHACGLYt","Transport of Phenylacetylglycine, Extracellular","phacgly_c ⇌ phacgly_e","Transport, extracellular",2.209315
296,"EX_phacgly.e.","EX_phacgly_e","Exchange of Phenylacetylglycine","phacgly_e ⇌ ","Extracellular exchange",2.209315
297,"CARIBUP_Rthv","CARIBUP_Rthv","Release of R-carboxy ibuprofen into hepatic vein","caribup__R_c ⇌ caribup__R_e","Drug metabolism",2.204498
298,"EX_caribup_R.e.","EX_caribup_R_e","exchange reaction for R-carboxy ibuprofen in hepatic vein","caribup_R[e] <=> ","Extracellular exchange",2.204498
299,"IBUP_RCYPCARhep","IBUP_RCYPCARhep","Oxidation of R-3-hydroxy ibuprofen to R-carboxy ibuprofen","o2_c + 3hibup__R_c → h_c + h2o_c + caribup__R_c","Drug metabolism",2.204498
300,"EX_gudca3s.e.","EX_gudca3s_e","EX gudca3s(e)","gudca3s_e ⇌ ","Extracellular exchange",2.197455
301,"GUDCA3St","GUDCA3St","Glycoursodeoxycholic acid 3-sulfate via bicarbonate countertransport","hco3_c + gudca3s_e ⇌ hco3_e + gudca3s_c","Transport, extracellular",2.197455
302,"GUDCASULT","GUDCASULT","Glycoursodeoxycholic acid sulfotransferase","paps_c + HC02196_c → h_c + pap_c + gudca3s_c","Bile acid synthesis",2.197455
303,"HMR_8798","HMR_8798","HMR_8798","M02723[c] <=> M02723[e] ","Transport, extracellular",2.197143
304,"EX_pheacgly.e.","EX_pheacgly_e","Exchange of Phenylacetylglycine ","pheacgly_e ⇌ ","Extracellular exchange",2.197143
305,"O2St","O2St","Superoxide anion transport via diffusion (extracellular)","o2s_c ⇌ o2s_e","Transport, extracellular",2.180815
306,"EX_HC02194.e.","EX_HC02194_e","Ursodeoxycholate exchange","HC02194_e ⇌ ","Extracellular exchange",2.178678
307,"56EPPVShc","56EPPVShc","Oxidation of 3-alpha-iso-pravastatin to 5,6-epoxy-3-alpha-iso-pravastatin in hepatocytes","h_r + nadph_r + o2_r + 3ispvs_r → h2o_r + nadp_r + 56eppvs_r","Drug metabolism",2.177306
308,"7HPVShc","7HPVShc","Oxidation of 3-alpha-iso-pravastatin to 7-hydroxy-3-alpha-iso-pravastatin in hepatocytes","h_r + nadph_r + o2_r + 3ispvs_r → h2o_r + nadp_r + 7hpvs_r","Drug metabolism",2.177306
309,"EX_56eppvs.e.","EX_56eppvs_e","Exchange reaction of 5,6-epoxy-3-alpha-iso-pravastatin in hepatic vein","56eppvs_e ⇌ ","Extracellular exchange",2.177306
310,"EX_7hpvs.e.","EX_7hpvs_e","Exchange reaction of 7-hydroxy-3-alpha-iso-pravastatin in hepatic vein","7hpvs_e ⇌ ","Extracellular exchange",2.177306
311,"3ISPVSitr","3ISPVSitr","3ISPVSitr","3ispvs_r ⇌ 3ispvs_c","Drug metabolism",2.177306
312,"56EPPVSitr","56EPPVSitr","56EPPVSitr","56eppvs_r ⇌ 56eppvs_c","Drug metabolism",2.177306
313,"7HPVSitr","7HPVSitr","7HPVSitr","7hpvs_r ⇌ 7hpvs_c","Drug metabolism",2.177306
314,"EX_CE1935.e.","EX_CE1935_e","Spermine monoaldehyde exchange","CE1935_e ⇌ ","Extracellular exchange",2.176652
315,"EX_CE1940.e.","EX_CE1940_e","Spermidine monoaldehyde 2 exchange","CE1940_e ⇌ ","Extracellular exchange",2.176652
316,"EX_CE1939.e.","EX_CE1939_e","Spermidine monoaldehyde 1 exchange","CE1939_e ⇌ ","Extracellular exchange",2.176652
317,"EX_ptrc.e.","EX_ptrc_e","Putrescine exchange","ptrc_e ⇌ ","Extracellular exchange",2.176652
318,"RE2513E","RE2513E","Peroxidase","cl[e] + h[e] + h2o2[e] <=> CE4633[e] + h2o[e] ","Miscellaneous",2.171379
319,"RE2644C","RE2644C","Aspartoacylase","h2o_c + CE1556_c ⇌ ac_c + asn__L_c","Urea cycle",2.153537
320,"CE1556td","CE1556td","Transport of N-Acetyl-L-Asparagine","CE1556_c ⇌ CE1556_e","Transport, extracellular",2.153537
321,"EX_CE1557.e.","EX_CE1557_e","Exchange of N-Acetyl-L-Asparagine","CE1556[e] <=> ","Extracellular exchange",2.153537
