sample	Quantiseq_B_cell	Quantiseq_Macrophage_M1	Quantiseq_Macrophage_M2	Quantiseq_Monocyte	Quantiseq_Neutrophil	Quantiseq_NK_cell	Quantiseq_T_cell_CD4+_(non-regulatory)	Quantiseq_T_cell_CD8+	Quantiseq_T_cell_regulatory_(Tregs)	Quantiseq_Myeloid_dendritic_cell	Quantiseq_uncharacterized_cell	MCP_T_cells	MCP_CD8_T_cells	MCP_Cytotoxic_lymphocytes	MCP_B_lineage	MCP_NK_cells	MCP_Monocytic_lineage	MCP_Myeloid_dendritic_cells	MCP_Neutrophils	MCP_Endothelial_cells	MCP_Fibroblasts	Epidish_BPRNACan_B	Epidish_BPRNACan_cancer	Epidish_BPRNACan_CD4	Epidish_BPRNACan_CD8	Epidish_BPRNACan_M0	Epidish_BPRNACan_M1	Epidish_BPRNACan_M2	Epidish_BPRNACan_Mono	Epidish_BPRNACan_Neu	Epidish_BPRNACan_NK	DeconRNASeq_BPRNACan_B	DeconRNASeq_BPRNACan_cancer	DeconRNASeq_BPRNACan_CD4	DeconRNASeq_BPRNACan_CD8	DeconRNASeq_BPRNACan_M0	DeconRNASeq_BPRNACan_M1	DeconRNASeq_BPRNACan_M2	DeconRNASeq_BPRNACan_Mono	DeconRNASeq_BPRNACan_Neu	DeconRNASeq_BPRNACan_NK	Epidish_BPRNACan3DProMet_B	Epidish_BPRNACan3DProMet_cancer	Epidish_BPRNACan3DProMet_CD4	Epidish_BPRNACan3DProMet_CD8	Epidish_BPRNACan3DProMet_M0	Epidish_BPRNACan3DProMet_M1	Epidish_BPRNACan3DProMet_M2	Epidish_BPRNACan3DProMet_Mono	Epidish_BPRNACan3DProMet_Neu	Epidish_BPRNACan3DProMet_NK	DeconRNASeq_BPRNACan3DProMet_B	DeconRNASeq_BPRNACan3DProMet_cancer	DeconRNASeq_BPRNACan3DProMet_CD4	DeconRNASeq_BPRNACan3DProMet_CD8	DeconRNASeq_BPRNACan3DProMet_M0	DeconRNASeq_BPRNACan3DProMet_M1	DeconRNASeq_BPRNACan3DProMet_M2	DeconRNASeq_BPRNACan3DProMet_Mono	DeconRNASeq_BPRNACan3DProMet_Neu	DeconRNASeq_BPRNACan3DProMet_NK	Epidish_BPRNACanProMet_B	Epidish_BPRNACanProMet_cancer	Epidish_BPRNACanProMet_CD4	Epidish_BPRNACanProMet_CD8	Epidish_BPRNACanProMet_M0	Epidish_BPRNACanProMet_M1	Epidish_BPRNACanProMet_M2	Epidish_BPRNACanProMet_Mono	Epidish_BPRNACanProMet_Neu	Epidish_BPRNACanProMet_NK	DeconRNASeq_BPRNACanProMet_B	DeconRNASeq_BPRNACanProMet_cancer	DeconRNASeq_BPRNACanProMet_CD4	DeconRNASeq_BPRNACanProMet_CD8	DeconRNASeq_BPRNACanProMet_M0	DeconRNASeq_BPRNACanProMet_M1	DeconRNASeq_BPRNACanProMet_M2	DeconRNASeq_BPRNACanProMet_Mono	DeconRNASeq_BPRNACanProMet_Neu	DeconRNASeq_BPRNACanProMet_NK
2292873_REL	0	0	0	0.06040502657809624	0.08986275761587001	0.4071477264717204	0.27550998167480734	0	0	0.08249865505397583	0.08457585260553024	0.019540602733910336	0.0037637248905118	0.0694392740107364	0.24496318458954497	0.02118470076143393	0.01469032087109951	0.005333043611079304	0.13831730833775494	0.09011637828295462	0.027317861457026676	0.2719129187332923	0.24145867440995925	0.0637838163660433	0	0	0.0822599158002014	0	0.27704534308263834	0.04832723636091122	0.015212095246954242	0.15708265044182662	0.14315857915718194	0.07827645653745731	0	0.006438314254143207	0.14884043275661724	0.1550514254504221	0.10753908686969556	0.08718633400453178	0.11642672052812433	0.32831536954822566	0.23307207552925777	0.05072909596088621	0	0	0.0594119356869215	0	0.20691900088005963	0.10642009661845775	0.01513242577619151	0.11306488283200528	0.18058151228799146	0.02462505452725436	0	0	0.19147525845011887	0.20738147022138465	0.10373012477973775	0.04647178964196553	0.13266990725954161	0.43503737753331917	0.27517471100611157	0.03637013849176464	0	0	0.03210736935921172	0	0.13390299058160796	0.07688330126178972	0.01052411176619517	0.10680652589474365	0.17982169999989353	0.034518412967940004	0	0	0.18572510307982498	0.2075030408639074	0.09261285343796698	0.055476760439298445	0.137535603316425
2410163_REL	0.016579903495153127	0	0	0.2806237958264994	0.22897877963505164	0.04095424191785909	0.037335029251334535	0.005806654311073106	0	0	0.3897215955630291	0.035638089896375506	5.23407580882156e-4	0.0970346433751374	0.015512884163621756	0.031660077280036086	0.4164353998549608	0.03808202908324394	0.10272219802182454	0.03136887235213643	0.04118436555223839	0.07033035879555373	0.655330535069796	0.02001827542809565	0	0	0.006567075243669802	0	0.23004800073065254	0	0.017705754732232275	0.0825768760960629	0.1616661094952345	0.06819510783433323	0	0	0.09143437179024858	0.1338471368841302	0.35781918314958805	0	0.10446121475040279	0.11944313470371912	0.5351845567301609	0.08707912057724497	0	0	0.00418232028908124	0	0.23826452099705273	0.0031292903244349904	0.012717056378306063	0	0.19861578459256335	0	0	0	0.13069079135581874	0.18995745284742327	0.3685191191724749	0	0.11221685203171994	0.1749077066858514	0.5146287192054371	0.10963424399184475	0	0	0.004917220094318564	0	0.17810295788938438	0.007794489988471	0.010014662144692814	0	0.199962858469799	0.007278787813894419	0	0	0.12402807068541075	0.19188988973172177	0.34714892683410387	0	0.12969146646507024
2297941_REL	0.12593669854982636	0	0.0035509859457973415	0	0	0.013311726614724306	0	0	0	0.0076257111568525035	0.8495748777327995	0.004984304400714977	0	1.7430888002914458e-4	1.1904285295444512	1.3299152685380868e-4	0.3852658648696964	0.007087443466764335	0.17459229842079058	0.13870218287742903	0.2612199222592967	0.19872287739487943	0.5819829998404904	0.026719483498848975	0	0	0.00833020989058142	0	0.18198305437191906	0	0.002261375003280843	0.11330005705082602	0.26195605304796854	0.054128675247124704	0.007003230872801858	0	0.10308921008045616	0.1269784086504151	0.13442782374839862	0.11985171158402175	0.07926482971798741	0.36143420126945747	0.40309291865407565	0.01071671999465542	0.00426630333452153	0	0.005128320989342577	0	0.21536153575794736	0	0	0.06050993078803707	0.2846125632644025	0.00588888755612528	0	0	0.14034310770466668	0.17528890509938455	0.13797153274839716	0.09653441022878488	0.09885066261020177	0.43219904570398404	0.475641071917889	0.009771237458891992	0	0	0.003275334066119821	0	0.0771693894090715	0.0017220229119185937	2.2189853212506558e-4	0.054434700172087624	0.275334626811777	0.020827255884419957	0	0	0.13609329331468933	0.1777218402900082	0.1224149858479179	0.10874542203648153	0.10442787564261873
974025_REL	0.0065326244120884926	0	0.017247352576589128	0.05054942029362021	0.3928440682606053	0	0	0	0	0	0.5328265344570968	0.0021019103007664315	3.08636499843236e-4	0.0012465292336407458	0.0416299631144364	0.012866498386287489	0.508683406086557	0.21485560235426404	0.389483468005407	0.14236196502071144	10.420287075717496	0.0033487231370582515	0.1641866814251697	0	0	0	0.002354788829948278	0	0.6635363642785804	0.16656611176199648	7.330567246762504e-6	0.0950836394620051	0.18140742580229213	0.02187982702764163	0	0.005425240486818875	0.10097371597904324	0.12771882705721188	0.22405027303868974	0.1501046353499821	0.09335641579631546	0	0.28994446179580596	0	0	0	0.004083823229943338	0	0.6051310756043673	0.09757250660247567	0.003268132767407706	0	0.23797305728413032	0	0	0	0.15340794705132185	0.19173295376796723	0.23595437590639445	0.09034707628371645	0.09058458970646961	0	0.31101530179948417	0	0	0	0.003401677870947754	0	0.5793775374151502	0.10294830815799959	0.0032571747564184026	0.0831607474904354	0.20006884153315063	0.022639118751882292	0	0	0.15323512185332105	0.20491104393082502	0.12248210347911478	0.1022288698938327	0.11127415306743832
2260553_BL	0.022810472140283512	0	0.011126295333279867	0	0	0.01976553614100787	0	0.008616073371416046	0.24016147284726633	0.03181097012913573	0.6657091800376107	0.5808617241929592	0.0109912513457979	0.25479790971171223	0.028893134556857422	0.04194669227756119	0.40718210351739176	0.00375313793611664	0.11173506508409242	0.033020081576488586	0.001306745647377683	0.05529608100619793	0.6111036589621597	0.22344638728458607	0	0	9.075592231394654e-4	0	0.027864304697037066	0.01177313593762834	0.06960887288925136	0.14632026852385382	0.18579387095222966	0.046309724351714654	0.03941109672530495	0.007225993577390857	0.10763307483509146	0.141721223274247	0.10614622590551777	0.09176984159806331	0.12766868025658662	0.029990355314082617	0.7211624100238481	0.1715673159889754	0	0	9.74383074107982e-4	0	0.018895792587506084	0.0014598412263328512	0.05594990178514701	0.07259473063169514	0.23720972715814093	0	0	0	0.16440826511955187	0.20968930094737331	0.10617074765254442	0.03453955095241134	0.1753876775382831	0.0657384761406316	0.732056165521993	0.1496733080692514	0	0	0	0	0.008323697617813739	0.006333231131234357	0.037875121519075794	0.10263194769563105	0.22477324529389137	0	0	0	0.16024577866999978	0.2120413356982599	0.08724115382627431	0.04229695141922464	0.17076958739671944
2280935_BL	0	0	0.012215448368122855	0	0.01612809461183083	0.6254248991670437	0	0	0	0	0.34623155785300264	0.20905003536105338	0.0432086065643666	10.31261705736675	0.006303566699022475	1.1369422399373577	3.1778884089440336	0.01843710385454069	1.1321039239682609	0.016202467568103444	0.620608023950612	0.01613650011217746	0.27207230546951494	0.3517360009253058	0.2368069245513819	0	0.003846325651755796	3.0796948553347194e-4	0.091938797771765	0.008743998514417472	0.018411177518148115	0.13840443514815487	0.14328675086919496	0	0.10213775614324164	0.015924255865305686	0.11714946391343463	0.15547619518928424	0.10888270685667424	0.08783746429765493	0.13090097171705486	0.02231426777099302	0.20281864000439628	0.39069764388196565	0.2923121366213766	0	0.002517283910767928	2.558296878436984e-4	0.06933384669945923	0.01975035142319757	0	0.21228353615798007	0.10087115681446926	0	0.1507660964662023	0.01606675443787285	0.08560072853422668	0.119101540747256	0.08692491367947444	0.12671654423269366	0.10166872892982469	0.04927158790932446	0.20863018175059567	0.40392667100693086	0.2612304278527374	0	2.999672192887089e-4	1.9937169270911926e-4	0.052943971797890045	0.02303790487230385	4.59915898219944e-4	0.20029559609521036	0.09924090803345169	0	0.16443634567770293	0.014679583086844389	0.08217038598698287	0.12142942938961253	0.07339301862675637	0.14064171858096122	0.10371301452247761
2283265_BL	0.07173420564929658	0	0	0.07121532988387301	0	0.013018239017099802	0	0	0.01095329255730368	0.028257647632847233	0.8048212852595799	0.03361535915580142	0	0.0012778634282541892	0.01962098120134861	0.0013505019185071545	0.06378722044038791	0.0013248210584033606	0.08591943263770808	0.2187132446905905	0.285971215999217	0.22196144359336153	0.6228528198480009	0.11833994497241834	0	0	0.0030483228689084816	0	0.025533848592516683	0.006519501384532327	0.0017441187402618412	0.17844039013745872	0.17878222586570391	0.036525879109625764	0.020839642729560764	0.018491115400099303	0.09992087636394584	0.14253253826012843	0.11971792414577434	0.1063181112999824	0.09843129668772076	0.2743106026503731	0.5641597171106079	0.10244028708917777	0	0	0.0021573154377848517	0	0.046350353128877204	0.009150968128788494	0.0014307564543907816	0.1206801957592431	0.22524338760050205	0	0	0	0.16131894010845205	0.20533687359307923	0.11718478098251685	0.05023465560521163	0.12000116635099506	0.3450319853583698	0.5199914545010909	0.08774681186929066	0.0035340559953102465	0	0.0017335469770039334	0	0.03584157674371438	0.006120568555220059	0	0.08862270836485442	0.23489365224660833	0.03094422122210999	0	0	0.16956247771266153	0.21744980298941813	0.08997539645413773	0.032883651129723385	0.1356680898804865
2410163_BL	0.2770759121850347	0.012002455616003015	5.983878199780496e-4	0	0.030427301866351102	7.927453052678661e-4	0.04741342388724478	0	0	0	0.6316897733201206	0.003132946558882903	3.69973632188086e-5	6.917413690706232e-5	0.002617152174071771	1.6951126842087007e-4	0.3214184775335393	0.011193131372250115	0.02723205360576328	0.087741121224604507	0.030235148689222703	0.039403883588367855	0.9184464501787127	0.03043423684721696	8.629114611650359e-4	0	0.0013209979747297394	0	0.002339850831145615	0.007191669118662013	0	0.16064493754808762	0.15518212112455587	0.04537204687932578	0	0.020299749086904906	0.09761336626547615	0.1425010858436633	0.10023717327499307	0.17257816157773934	0.10557135839925387	0.029472276728187242	0.9466303300135612	0.016137948953286907	0.0033629649331712082	0	8.224007129704314e-4	0	0.0010114318393027212	0.0025626468195203236	0	0.07552684250617842	0.20637265707924746	0	0	0	0.16939096517110025	0.2175199744445196	0.09361500223071649	0.12101608743198133	0.11655847113625652	0.06544849146178243	0.8879748259796698	0.038030829376040055	0.0028879586023741054	0	0.001234722204415428	0	0	0.0044231723757181575	0	0.07443049235588839	0.20391739352108784	0	0	0	0.16429237163892835	0.21815606626316864	0.08394412465485554	0.12979751352983374	0.12546203803623762
2450523_BL	0.006037599547620954	0.0013821692635775835	4.6655810331048647e-4	0	0.09682367792519272	0.0037186489320273617	0.007696416568358959	0	0.0012710846374522256	0	0.8826038450224597	0.10326309728324147	7.57037370395006e-4	0.01634698290911959	0.03959057724809182	0.0018837364199151745	0.1705682908140504	0.00417086972933548	0.6712589240355142	0.07556081576253025	0.006839685125871905	0.07784160881458159	0.4885887993347735	0.07129556487053341	0	0	0.03409563201619544	0	0.328178394963916	0	0	0.14686253353429474	0.1719882665805074	0.05761249024817239	0	0.039882573202768584	0.07854486597429566	0.13497259326055747	0.06490835544949283	0.21931230500837814	0.08591601674153268	0.03167577307646326	0.6037172636652689	0.05420082929421201	0	0	0.03578779634789397	0	0.2705679807925628	0	0.004050356823599103	0.04083806716531374	0.22415131910602215	0	0	0.018905009039844697	0.15402888999230957	0.21282691575121948	0.05785783065827388	0.18879721076712722	0.10259475751988925	0.06742780342641834	0.6708411122687101	0.05236324061117792	0	0	0.005332688136684021	0	0.20018270523633325	0.0012247990782951516	0.002627651242381306	0.038163672220467404	0.2227496937366669	0	0	0.017039248289738476	0.1505192816796899	0.21347232610000785	0.05243073663691634	0.19524690956266808	0.11037813177384499
2463247_BL	0.010798457117061911	0.05528335928706987	0	0.048469761156352445	0.2431092231603219	0	0	0	0	0.02522372322191602	0.6171154760572779	0.017707019313209373	0.00111653847654382	0.04912400979253272	0.013121987863548167	0.014667650477524233	0.09711157811385188	0.023857472466890364	0.28676725335126924	5.286548178031799	0.045747550153362085	0.102552632002567	0.34520455848397685	0	0	0	0.2435014079200781	0	0.27865710097939866	0.026765721593717855	0.0033185790202614708	0.09763483208401352	0.13923906999768007	0.06491873203021664	0	0.0012655969497210456	0.09870585278613253	0.1355079488037459	0.35414565846417584	0	0.10858230888431467	0.16424270987712478	0.2763729820389227	0.038253779014842594	0	0	0.16350192734902166	0	0.30360409330588783	0.050233661076829014	0.0037908473373715204	0	0.1823299110152206	0	0	0	0.14642453148792722	0.20173235837764103	0.35826656377232585	0	0.11124663534688536	0.21429921773147542	0.3488234347115576	0.0614687530851451	0	0	0.07065725595740659	0	0.240976932670221	0.0595079711082861	0.004266434735908204	0	0.18800979510000393	0	0	0	0.13906488372989614	0.20309478725627111	0.3382599307092282	0	0.13157060320460057
2463247_REL	0	0	0	0	0.981754835028447	0.01824516497155298	0	0	0	0	1.1102230246251565e-16	0.02118900418821062	0.00378648522473493	0.03873402314030099	0.021905833751362964	0.007357949219141362	0.04048424032570808	0.011439768011003328	1.3430125701391638	0.03193521772842883	0.0019697742493990883	0.04276903402055814	0.1940900118683403	0	0	0	0.1781731387659404	0	0.4510182742958271	0.12914187918094738	0.004807661868386684	0.13590586257114806	0.14260833886634988	0.05103687302222375	0	0	0.16615480066897717	0.1470399710477487	0.11456968916759347	0.12344893158875483	0.11923553306720426	0.040723628162921265	0.24689017843700656	0	0	0	0.16777464614552698	0	0.4180147910488542	0.11935314447641632	0.0072436117292747244	0.05508982537993734	0.19658623400513175	0	0	0	0.2139135185290097	0.21042522829327487	0.11258995804606202	0.076117390471778415	0.1352778452748059	0.07425973340003095	0.37466505389199045	0	0	0	0.033193441142955464	0	0.36234369574887226	0.148091140272484	0.007446935543666862	0.06297703677205296	0.19659372565051259	0	0	0	0.20706456386407374	0.20968061453548342	0.09744223392197929	0.0851285595612564	0.1411132656946419
2480485_BL	0.8893291656302583	0	0	0.014753914096538832	0	0.09591692027320295	0	0	0	0	0	0.0068699513014561335	0	8.579294311498507e-4	8.81795109169113	3.5053444037268775e-4	0.0669608127651555	0.0112725810538905	0.02620503474230151	0.29583675251841257	0.004252110832536271	0.41357844892920675	0.46459019407628727	0.10623095448254298	0	0	0.001778959328553577	0	0.009267733536445881	0	0.004553709646963589	0.2402611539887814	0.1495212488857481	0.06093028446618451	0	0.01411449525117732	0.10708455187444758	0.14460855703735492	0.08257081851800593	0.08868711521003778	0.11222177476826206	0.3066584610427643	0.6082577411087831	0.07101568451175555	0	0	0.0013089741020451957	0	0.003619355988137684	9.100419062951757e-4	0.008229741340219112	0.18200683115146227	0.20160922142703086	0	0	0	0.17673618243228664	0.22184228944600504	0.07587592967524898	0.010399142356000896	0.13153040351196527	0.31481152717693284	0.638117819478602	0.039443510631172345	0	0	0.0013481296726474503	0	5.748433221279258e-4	0	0.005704169718517385	0.1948418631063949	0.18720451562276155	0	0	0	0.17301481267136892	0.22310253341614866	0.06191728363432397	0.021013566490936053	0.13890542505806613
2260671_REL	0.0022943812445129575	0.004818980646629113	0	0	0.36834006979619843	0.015168868033670407	0.2794307139793381	0.023504472038744683	0.042857049293483745	0	0.2635854649674225	3.201873531628591	0.042798353615422	0.3652889799776321	0.07520024593003703	0.03331190524735646	0.024012269511320208	0.007116330437939669	51.49878682788957	0.032315897953718115	0.48138271838573443	0.032623310802202696	0.06888418161028768	0.010551028099251524	0.018418739423281805	0	0.06955916757937461	0	0.39210432340535845	0.4078592490802432	0	0.10593695277382814	0.05638917421818889	0.029568574580559198	0	0.022031288369489685	0.11888586787060068	0.07279950082396576	0.523301944999669	0	0.07108669636369869	0.004722502377108657	0.09636445591785657	0	0	0	0.078723317237308	0	0.4530947806130353	0.36709494385469144	0	0	0.10473830144870074	0	0	0	0.18959122005194418	0.15047821528802802	0.5241788641801659	0	0.031013399031161598	0.015316921846930327	0.13336192057210708	0	0	0	0.09574362084299871	0	0.4119216479649022	0.3436558887730617	0	0	0.19590724224995332	0	0	0	0.16717069626023567	0.14119592421670418	0.4494601207439094	0	0.04626601652919769
2297625_BL	0	0	0	0	0.7438015318304751	0.20582760807708242	0	0	0	0.050370860092442536	0	0.19320347308696198	0.0298896436123546	33.06507007377533	0.11641731002742711	0.08271975411831652	0.022498960503467298	0.5905175832734006	0.22307922712059042	0.03334039281691884	0.013872101567217819	0.09424142732751054	0.1508367069591439	0.4173469585110848	0	0	0.015381112943505972	0	0.09393046691656835	0.15453057059737044	0.07373275674481612	0.14389195621844086	0.1369523605830028	0.10868402347005897	0	0.0141250380071192	0.117981093616361	0.1522201126089331	0.11569956684158068	0.07594439565261978	0.13450145300188396	0.2841861260533457	0.10760894107316926	0.3211622065050749	0	0	0.00909235190895766	0	0.07475461613110515	0.09023471288582112	0.11296104544252622	0.07407690476059087	0.18870375582044988	0.05387030459771641	0	0	0.17499410012830457	0.21536170951108535	0.11212430859981441	0.02193106794244029	0.15893784863959837	0.32967994744897866	0.1536084829900213	0.29960841836580665	0	0	0.001295042478414598	0	0.031506814793208056	0.08478853069123057	0.09951276323234014	0.08181038363371951	0.19269034802885615	0.05662674148762918	0	0	0.16764822465539705	0.21435823473716428	0.096710130658076085	0.029969921869607022	0.16018601492955054
2297625_REL	0	0	0	0	0	0	0	0	0	0.3665211183127789	0.6334788816872211	0.7079721902457085	0.0130647970204779	0.050871488504760094	0.036500487392237616	0.0031719200701547778	0.07931591503721241	0.0036474591613359347	0.7034084457815636	0.015023864480445733	0.013191808769786914	0.13940423811409058	0.20589010459657514	0.29974242081903096	0.012134080403680577	0	0.011160081583236938	0	0.23517775793827536	0.0787921434076868	0.0176991731374236	0.12454925577305187	0.1773579281497671	0.05813494725296536	0	0.015287447459945591	0.10821485054785983	0.14834357445435448	0.1843824641972627	0.06748283814519976	0.116246694019593	0.15358112218028905	0.23471855141516637	0.24109164240297734	0.01097972754348413	0	0.010876053717810065	0	0.23575346117067186	0.0969489073196543	0.016050534249946853	0.04600340717480461	0.22254213303576675	0	0	0	0.17128272781294007	0.21655331184048354	0.1965118352914299	0.007427603151117845	0.13967898169345755	0.16099661283892788	0.30792850666145577	0.2730404361846604	9.391653563859374e-4	0	0.007868840055328688	0	0.1390059350326991	0.09510057949622061	0.015119924374321731	0.046647808169022364	0.22073876302720785	0.0021230218602259626	0	0	0.16476957600181766	0.21692278473481535	0.17774076254803456	0.02339818504424676	0.14765909861462975
1825001_BL	0.351775333713272	0	0	0	0.6337644694261622	0.00543003331090922	0.0038766665854490707	0.005153496964207409	0	0	1.1102230246251565e-16	0.06175760757456658	0.00240620136586404	0.07569944325313392	3.0525762681282944	0.009596269575340058	0.21256020658746239	0.03544565973764007	0.839656813864766	0.012938538847757652	0.1733086455758545	0.16993719412144562	0.04238928744269844	0.00744531415557023	0.04754805533787119	0	0.13715779839126854	0	0.27462318526129653	0.3208991652898495	0	0.15360817016244038	0.12495190401998921	0.031083941555765326	0	0.011926927268449197	0.13142778776868752	0.1447183563930937	0.12606535624488177	0.16299704536005516	0.11322051122663798	0.23215636818590996	0.05095859459186604	0	0.040309519962048165	0	0.12269897709133934	0	0.22917281502557862	0.3247037251432579	0	0.03703779355237652	0.36799503473227746	0	0	0	0.1465887065969061	0.17617235073214804	0.10350126219172268	0.07382772526828352	0.09487712692628572	0.25677155138132046	0.10758302437216984	0	0.03705831251027739	0	0.035630107720456015	0	0.14306531674970357	0.41989168726607273	0	0.03523692302514769	0.3603342942969381	0	0	0	0.1411370708424146	0.17833805022963856	0.09078699336395082	0.08812818575838373	0.10603848248352642
