"source"	"target"	"Annotation"	"Direction"	"Score"
"GTF2B"	"YWHAE"	"predicted"	"-"	0.64
"GYPC"	"SP1"	"expression regulated by"	"<-"	1
"HAX1"	"HSPA5"	"predicted"	"-"	0.64
"HAX1"	"STAT1"	"predicted"	"-"	0.54
"HAX1"	"STAT2"	"predicted"	"-"	0.54
"HDAC4"	"IKZF1"	"predicted"	"-"	0.64
"HDAC4"	"SMARCB1"	"predicted"	"-"	0.64
"HDAC4"	"SP1"	"predicted"	"-"	0.64
"HDAC4"	"STAT1"	"predicted"	"-"	0.64
"HDAC4"	"YWHAE"	"complex; input"	"-"	1
"HDAC4"	"YWHAQ"	"predicted"	"-"	0.99
"HEATR1"	"RPS27"	"reaction"	"-"	1
"HEATR1"	"WDR46"	"activate; complex; input"	"->"	1
"HEATR1"	"WDR75"	"complex; input"	"-"	1
"HIRA"	"SMARCB1"	"expression regulated by"	"<-"	1
"HIRA"	"SP1"	"expression regulated by"	"<-"	1
"HIRA"	"STAT2"	"expression regulated by"	"<-"	1
"HLA-DRA"	"HLA-DRB1"	"catalyze; catalyzed by; complex; input; predicted"	"<->"	1
"HLA-DRA"	"HLA-DRB5"	"catalyze; catalyzed by; complex; input; predicted"	"<->"	1
"HLA-DRA"	"HLA-E"	"predicted"	"-"	0.92
"HLA-DRA"	"MAP4K1"	"activate"	"->"	1
"HLA-DRA"	"PTPRC"	"activated by; catalyzed by; inhibited by"	"-"	1
"HLA-DRA"	"SEC24D"	"complex; input"	"-"	1
"HLA-DRA"	"SP1"	"expression regulated by"	"<-"	1
"HLA-DRA"	"STAT1"	"GErel: expression by"	"<-"	1
"HLA-DRB1"	"HLA-DRB5"	"catalyze; catalyzed by; input"	"<->"	1
"HLA-DRB1"	"HLA-E"	"predicted"	"-"	0.98
"HLA-DRB1"	"MAP4K1"	"activate"	"->"	1
"HLA-DRB1"	"PTPRC"	"activated by; catalyzed by; inhibited by"	"-"	1
"HLA-DRB1"	"SEC24D"	"complex; input"	"-"	1
"HLA-DRB1"	"STAT1"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"PTPRC"	"catalyzed by; inhibited by"	"-"	1
"HLA-DRB5"	"SEC24D"	"complex; input"	"-"	1
"HLA-DRB5"	"STAT1"	"GErel: expression by"	"<-"	1
"HLA-E"	"SEC24D"	"catalyzed by; complex; input"	"<-"	1
"HLA-E"	"STAT1"	"expression regulated by"	"<-"	1
"HLA-E"	"VAMP8"	"input"	"-"	1
"HMGB3"	"STAT1"	"predicted"	"-"	0.56
"HMGB3"	"STAT2"	"predicted"	"-"	0.56
"HNRNPD"	"HNRNPK"	"complex; input"	"-"	1
"HNRNPD"	"HNRNPR"	"complex; input"	"-"	1
"HNRNPD"	"LSM2"	"complex; input"	"-"	1
"HNRNPD"	"PABPN1"	"complex; input"	"-"	1
"HNRNPD"	"PCBP2"	"complex; input"	"-"	1
"HNRNPD"	"PQBP1"	"complex; input"	"-"	1
"HNRNPD"	"PSMB2"	"catalyzed by"	"<-"	1
"HNRNPD"	"PSMD11"	"catalyzed by"	"<-"	1
"HNRNPD"	"SNRPB2"	"complex; input"	"-"	1
"HNRNPD"	"SNRPC"	"complex; input"	"-"	1
"HNRNPD"	"SNW1"	"complex; input"	"-"	1
"HNRNPD"	"WBP11"	"complex; input"	"-"	1
"HNRNPK"	"HNRNPR"	"complex; input"	"-"	1
"HNRNPK"	"LSM2"	"complex; input"	"-"	1
"HNRNPK"	"PABPN1"	"complex; input"	"-"	1
"HNRNPK"	"PCBP2"	"complex; input"	"-"	1
"HNRNPK"	"PQBP1"	"complex; input"	"-"	1
"HNRNPK"	"SNRPB2"	"complex; input"	"-"	1
"HNRNPK"	"SNRPC"	"complex; input"	"-"	1
"HNRNPK"	"SNW1"	"complex; input"	"-"	1
"HNRNPK"	"WBP11"	"complex; input"	"-"	1
"HNRNPR"	"LSM2"	"complex; input"	"-"	1
"HNRNPR"	"PABPN1"	"complex; input"	"-"	1
"HNRNPR"	"PCBP2"	"complex; input"	"-"	1
"HNRNPR"	"PQBP1"	"complex; input"	"-"	1
"HNRNPR"	"SNRPB2"	"complex; input"	"-"	1
"HNRNPR"	"SNRPC"	"complex; input"	"-"	1
"HNRNPR"	"SNW1"	"complex; input"	"-"	1
"HNRNPR"	"WBP11"	"complex; input"	"-"	1
"HPRT1"	"PPAT"	"predicted"	"-"	0.98
"HPRT1"	"PRPS2"	"predicted"	"-"	0.92
"HSP90B1"	"HSPA5"	"predicted"	"-"	1
"HSP90B1"	"P4HB"	"predicted"	"-"	0.98
"HSP90B1"	"SNW1"	"predicted"	"-"	0.73
"HSP90B1"	"TECR"	"predicted"	"-"	0.66
"HSP90B1"	"YWHAE"	"predicted"	"-"	0.98
"HSP90B1"	"YWHAQ"	"predicted"	"-"	0.64
"HSPA5"	"NCK1"	"predicted"	"-"	0.64
"HSPA5"	"P4HB"	"predicted"	"-"	0.58
"HSPA5"	"PPIB"	"predicted"	"-"	0.64
"HSPA5"	"SEC61A1"	"predicted"	"-"	0.64
"HSPA5"	"SEC63"	"predicted"	"-"	0.98
"HSPA5"	"SNCA"	"inhibit"	"-|"	1
"HSPA5"	"YWHAE"	"predicted"	"-"	0.54
"HSPA5"	"YWHAQ"	"predicted"	"-"	0.54
"IKZF1"	"IKZF2"	"predicted"	"-"	0.97
"IKZF1"	"SMARCE1"	"predicted"	"-"	0.64
"IKZF1"	"SNW1"	"predicted"	"-"	0.64
"INIP"	"INTS3"	"predicted"	"-"	0.64
"INTS3"	"INTS4"	"complex"	"-"	1
"INTS3"	"INTS5"	"complex"	"-"	1
"INTS3"	"RPRD1B"	"catalyzed by; complex; input"	"<-"	1
"INTS3"	"SP1"	"catalyzed by; complex; input"	"<-"	1
"INTS3"	"SUPT4H1"	"activated by"	"<-"	1
"INTS3"	"TAF6"	"catalyzed by; complex; input"	"<-"	1
"INTS4"	"INTS5"	"complex"	"-"	1
"INTS4"	"RPRD1B"	"catalyzed by; complex; input"	"<-"	1
"INTS4"	"SP1"	"catalyzed by; complex; input"	"<-"	1
"INTS4"	"SUPT4H1"	"activated by"	"<-"	1
"INTS4"	"TAF6"	"catalyzed by; complex; input"	"<-"	1
"INTS5"	"RPRD1B"	"catalyzed by; complex; input"	"<-"	1
"INTS5"	"SP1"	"catalyzed by; complex; input"	"<-"	1
"INTS5"	"SUPT4H1"	"activated by"	"<-"	1
"INTS5"	"TAF6"	"catalyzed by; complex; input"	"<-"	1
"ITGAL"	"LIMS1"	"input"	"-"	1
"ITGAL"	"PTK2B"	"PPrel: activation; PPrel: indirect effect; catalyzed by; complex; input"	"<->"	1
"ITGAL"	"PTPRC"	"predicted"	"-"	0.98
"ITGAL"	"SP1"	"expression regulated by"	"<-"	1
"LIG1"	"POLD1"	"catalyze; complex; input"	"->"	1
"LIG1"	"RFC1"	"catalyze; complex; input"	"->"	1
"LIG1"	"RFC2"	"catalyze; complex; input"	"->"	1
"LIG1"	"TCEA1"	"catalyze"	"->"	1
"LIMS1"	"PTK2B"	"input"	"-"	1
"LMAN1"	"P4HB"	"predicted"	"-"	0.64
"LMAN1"	"SEC24D"	"complex; input"	"-"	1
"LMAN1"	"TFG"	"complex; input"	"-"	1
"LMAN1"	"TMED5"	"predicted"	"-"	0.64
"LSM2"	"PABPN1"	"complex; input"	"-"	1
"LSM2"	"PCBP2"	"complex; input"	"-"	1
"LSM2"	"PQBP1"	"complex; input"	"-"	1
"LSM2"	"SNRPB2"	"complex; input"	"-"	1
"LSM2"	"SNRPC"	"complex; input"	"-"	1
"LSM2"	"SNW1"	"complex; input"	"-"	1
"LSM2"	"WBP11"	"complex; input"	"-"	1
"LSM2"	"ZCRB1"	"complex; input"	"-"	1
"MAP2K3"	"TAB1"	"PPrel: activated by, phosphorylation; activated by; catalyzed by"	"<-"	1
"MAP4K1"	"NCK1"	"predicted"	"-"	0.77
"MED14"	"NCK1"	"predicted"	"-"	0.64
"MED14"	"SMARCB1"	"predicted"	"-"	0.56
"MED14"	"STAT2"	"predicted"	"-"	0.64
"METAP2"	"PCNP"	"predicted"	"-"	0.59
"METAP2"	"TCEA1"	"predicted"	"-"	0.59
"MMS19"	"POLD1"	"catalyze"	"->"	1
"MOB3A"	"VPS39"	"predicted"	"-"	0.66
"MRPL34"	"MRPS10"	"catalyzed by; complex; input"	"<-"	1
"MRPL34"	"MRPS16"	"catalyzed by; complex; input"	"<-"	1
"MRPL34"	"MRPS18B"	"catalyzed by; complex; input"	"<-"	1
"MRPL34"	"MRPS2"	"catalyzed by; complex; input"	"<-"	1
"MRPL34"	"MRPS34"	"catalyzed by; complex; input"	"<-"	1
"MRPL34"	"MRPS7"	"catalyzed by; complex; input"	"<-"	1
"MRPS10"	"MRPS16"	"complex"	"-"	1
"MRPS10"	"MRPS18B"	"complex"	"-"	1
"MRPS10"	"MRPS2"	"complex"	"-"	1
"MRPS10"	"MRPS34"	"complex"	"-"	1
"MRPS10"	"MRPS7"	"complex"	"-"	1
"MRPS16"	"MRPS18B"	"complex"	"-"	1
"MRPS16"	"MRPS2"	"complex"	"-"	1
"MRPS16"	"MRPS34"	"complex"	"-"	1
"MRPS16"	"MRPS7"	"complex"	"-"	1
"MRPS18B"	"MRPS2"	"complex"	"-"	1
"MRPS18B"	"MRPS34"	"complex"	"-"	1
"MRPS18B"	"MRPS7"	"complex"	"-"	1
"MRPS2"	"MRPS34"	"complex"	"-"	1
"MRPS2"	"MRPS7"	"complex"	"-"	1
"MRPS34"	"MRPS7"	"complex"	"-"	1
"MTOR"	"RHOA"	"PPrel: activation, phosphorylation"	"->"	1
"MTOR"	"SP1"	"expression regulated by"	"<-"	1
"MTOR"	"STAT1"	"predicted"	"-"	0.64
"MTOR"	"YWHAE"	"complex; input"	"-"	1
"MTOR"	"YWHAQ"	"complex; input"	"-"	1
"MX1"	"STAT1"	"GErel: expression by; expression regulated by"	"<-"	1
"MX1"	"STAT2"	"GErel: expression by; expression regulated by"	"<-"	1
"NAE1"	"UBA3"	"complex; predicted"	"-"	1
"NCK1"	"SP1"	"predicted"	"-"	0.64
"NDUFAF7"	"NDUFB11"	"complex; input"	"-"	1
"NDUFAF7"	"NDUFS5"	"complex; input"	"-"	1
"NDUFB11"	"NDUFS5"	"complex; input"	"-"	1
"NUCKS1"	"SP1"	"expression regulated by"	"<-"	1
"NUDT1"	"SMARCB1"	"expression regulated by"	"<-"	1
"OBSCN"	"RHOA"	"activate; catalyze"	"->"	1
"P4HA1"	"P4HB"	"catalyze; complex"	"->"	1
"P4HB"	"PPIB"	"predicted"	"-"	0.58
"PABPN1"	"PCBP2"	"complex; input"	"-"	1
"PABPN1"	"PQBP1"	"complex; input"	"-"	1
"PABPN1"	"SARNP"	"complex; input"	"-"	1
"PABPN1"	"SNRPB2"	"complex; input"	"-"	1
"PABPN1"	"SNRPC"	"input"	"-"	1
"PABPN1"	"SNW1"	"complex; input"	"-"	1
"PABPN1"	"THOC6"	"complex; input"	"-"	1
"PABPN1"	"WBP11"	"complex; input"	"-"	1
"PAXBP1"	"RFC1"	"predicted"	"-"	0.65
"PAXBP1"	"SNW1"	"predicted"	"-"	0.56
"PCBP2"	"PQBP1"	"complex; input"	"-"	1
"PCBP2"	"SNRPB2"	"complex; input"	"-"	1
"PCBP2"	"SNRPC"	"complex; input"	"-"	1
"PCBP2"	"SNW1"	"complex; input"	"-"	1
"PCBP2"	"WBP11"	"complex; input"	"-"	1
"PCNP"	"SSB"	"predicted"	"-"	0.59
"PDK1"	"PDK2"	"inhibited by"	"|-"	1
"PDK1"	"YWHAQ"	"predicted"	"-"	0.73
"PEBP1"	"YWHAE"	"reaction"	"-"	1
"PEBP1"	"YWHAQ"	"reaction"	"-"	1
"PFDN4"	"TUBB3"	"complex; input"	"-"	1
"PFDN4"	"TUBB6"	"complex; input"	"-"	1
"PICALM"	"SP1"	"expression regulated by"	"<-"	1
"PICALM"	"VAMP8"	"complex; input"	"-"	1
"POLD1"	"RFC1"	"complex; input"	"-"	1
"POLD1"	"RFC2"	"complex; input"	"-"	1
"POLD1"	"TCEA1"	"complex; input"	"-"	1
"PPAT"	"PRPS2"	"predicted"	"-"	0.98
"PPIB"	"SGTA"	"predicted"	"-"	0.64
"PPP1CB"	"PYGL"	"PPrel: inhibition, dephosphorylation, indirect effect"	"-|"	1
"PPP1CB"	"RHOA"	"catalyzed by; inhibite"	"<-|"	1
"PPP1CB"	"SDE2"	"predicted"	"-"	0.56
"PPP2R2A"	"RPL10"	"complex; input"	"-"	1
"PPP2R2A"	"RPS17"	"complex; input"	"-"	1
"PPP2R2A"	"RPS27"	"complex; input"	"-"	1
"PPP2R2A"	"STAT1"	"PPrel: inhibition, indirect effect"	"-|"	1
"PPP2R2A"	"STAT2"	"PPrel: inhibition, indirect effect"	"-|"	1
"PPP2R2A"	"VPS39"	"predicted"	"-"	0.6
"PPP2R2A"	"YWHAE"	"activate"	"->"	1
"PPP2R2A"	"YWHAQ"	"activate"	"->"	1
"PPP3CA"	"SSH3"	"PPrel: activation"	"->"	1
"PQBP1"	"SNRPB2"	"complex; input"	"-"	1
"PQBP1"	"SNRPC"	"complex; input"	"-"	1
"PQBP1"	"SNW1"	"complex; input"	"-"	1
"PQBP1"	"TSG101"	"predicted"	"-"	0.56
"PQBP1"	"WBP11"	"complex"	"-"	1
"PRDX2"	"PRDX6"	"predicted"	"-"	0.98
"PSMB2"	"PSMD11"	"complex; predicted"	"-"	1
"PSMB2"	"PSMG2"	"predicted"	"-"	1
"PSMB2"	"RAD23A"	"predicted"	"-"	0.99
"PSMB2"	"REL"	"catalyze"	"->"	1
"PSMB2"	"VIM"	"predicted"	"-"	0.64
"PSMB2"	"YWHAE"	"predicted"	"-"	0.99
"PSMD11"	"RAD23A"	"predicted"	"-"	0.73
"PSMD11"	"REL"	"catalyze"	"->"	1
"PSMD11"	"RPN2"	"complex; input"	"-"	1
"PTK2B"	"RHOA"	"PPrel: activation"	"->"	1
"PTK2B"	"SIRPA"	"complex; input"	"-"	1
"PURA"	"PURB"	"predicted"	"-"	1
"PURA"	"STAT1"	"predicted"	"-"	0.54
"PURB"	"STAT1"	"predicted"	"-"	0.54
"PYGL"	"VPS39"	"predicted"	"-"	0.6
"RAB10"	"RALA"	"activate"	"->"	1
"RAD23A"	"UBQLN4"	"predicted"	"-"	0.98
"RAD23A"	"VIM"	"predicted"	"-"	0.64
"RALA"	"RALBP1"	"PPrel: activation"	"->"	1
"RALA"	"RHOA"	"PPrel: activation"	"->"	1
"RALBP1"	"RHOA"	"catalyze"	"->"	1
"RER1"	"STX12"	"predicted"	"-"	0.73
"RFC1"	"RFC2"	"complex"	"-"	1
"RFC1"	"TCEA1"	"complex; input"	"-"	1
"RFC2"	"SMARCAL1"	"complex; input"	"-"	1
"RFC2"	"TCEA1"	"complex; input"	"-"	1
"RPL10"	"RPN2"	"complex; input"	"-"	1
"RPL10"	"RPS17"	"catalyze; catalyzed by; complex; input"	"<->"	1
"RPL10"	"RPS27"	"catalyze; catalyzed by; complex; input"	"<->"	1
"RPL10"	"SP1"	"expression regulated by"	"<-"	1
"RPL10"	"SPCS2"	"catalyzed by"	"<-"	1
"RPL10"	"SPCS3"	"catalyzed by"	"<-"	1
"RPL10"	"SSR1"	"complex; input"	"-"	1
"RPN2"	"RPS17"	"complex; input"	"-"	1
"RPN2"	"RPS27"	"complex; input"	"-"	1
"RPN2"	"SPCS2"	"catalyzed by"	"<-"	1
"RPN2"	"SPCS3"	"catalyzed by"	"<-"	1
"RPN2"	"SSR1"	"complex"	"-"	1
"RPN2"	"STT3A"	"complex"	"-"	1
"RPRD1B"	"SP1"	"complex; input"	"-"	1
"RPRD1B"	"SUPT4H1"	"activated by"	"<-"	1
"RPRD1B"	"TAF6"	"complex; input"	"-"	1
"RPS17"	"RPS27"	"catalyze; catalyzed by; complex; input"	"<->"	1
"RPS17"	"SPCS2"	"catalyzed by"	"<-"	1
"RPS17"	"SPCS3"	"catalyzed by"	"<-"	1
"RPS17"	"SSR1"	"complex; input"	"-"	1
"RPS27"	"SPCS2"	"catalyzed by"	"<-"	1
"RPS27"	"SPCS3"	"catalyzed by"	"<-"	1
"RPS27"	"SSR1"	"complex; input"	"-"	1
"RPS27"	"WDR46"	"activate"	"->"	1
"RPS27"	"WDR75"	"reaction"	"-"	1
"RTF1"	"STAT1"	"predicted"	"-"	0.64
"RTF1"	"SUPT4H1"	"complex; input"	"-"	1
"RTF1"	"TCEA1"	"complex; input"	"-"	1
"RUNX1"	"SMARCB1"	"complex; input"	"-"	1
"RUNX1"	"SP1"	"expression regulated by"	"<-"	1
"RUNX1"	"STAT1"	"expression regulated by"	"<-"	1
"SARNP"	"THOC6"	"complex; input"	"-"	1
"SDE2"	"SMARCB1"	"expression regulated by"	"<-"	1
"SDF2L1"	"STAT1"	"expression regulated by"	"<-"	1
"SEC24D"	"STX12"	"predicted"	"-"	0.99
"SEC24D"	"STX3"	"predicted"	"-"	0.99
"SEC24D"	"TFG"	"complex; input"	"-"	1
"SEC61A1"	"SEC63"	"predicted"	"-"	0.99
"SMARCB1"	"SMARCE1"	"PPrel: binding/association; complex; predicted"	"-"	1
"SMARCB1"	"UBQLN4"	"predicted"	"-"	0.64
"SMARCE1"	"SNW1"	"activated by"	"<-"	1
"SMARCE1"	"SP1"	"expression regulated by"	"<-"	1
"SNCA"	"STX3"	"predicted"	"-"	0.54
"SNCA"	"YWHAE"	"complex; input; predicted"	"-"	1
"SNCA"	"YWHAQ"	"complex; input"	"-"	1
"SNRPB2"	"SNRPC"	"complex; input"	"-"	1
"SNRPB2"	"SNW1"	"complex; input"	"-"	1
"SNRPB2"	"SSB"	"predicted"	"-"	0.97
"SNRPB2"	"WBP11"	"complex; input"	"-"	1
"SNRPC"	"SNW1"	"complex; input"	"-"	1
"SNRPC"	"WBP11"	"complex; input"	"-"	1
"SNW1"	"WBP11"	"complex; input"	"-"	1
"SP1"	"SUPT4H1"	"activated by"	"<-"	1
"SP1"	"TAF6"	"complex; input"	"-"	1
"SPCS2"	"SPCS3"	"complex"	"-"	1
"SPCS2"	"SSR1"	"catalyze"	"->"	1
"SPCS3"	"SSR1"	"catalyze"	"->"	1
"SPTLC1"	"SPTLC2"	"complex"	"-"	1
"SPTLC1"	"TECR"	"predicted"	"-"	0.56
"SQSTM1"	"USP15"	"predicted"	"-"	0.64
"STAT1"	"STAT2"	"PPrel: binding/association; PPrel: state change; catalyzed by; complex; expression regulated by; expression regulates; input"	"<->"	1
"STAT1"	"TYMP"	"expression regulates"	"->"	1
"STAT1"	"UHRF1"	"predicted"	"-"	0.54
"STAT2"	"UHRF1"	"predicted"	"-"	0.54
"STX12"	"STX3"	"predicted"	"-"	1
"STX12"	"VAMP8"	"predicted"	"-"	1
"STX12"	"VPS18"	"predicted"	"-"	0.99
"STX3"	"VAMP4"	"PPrel: activated by"	"<-"	1
"STX3"	"VAMP8"	"predicted"	"-"	1
"STX3"	"VPS18"	"predicted"	"-"	0.99
"SUPT4H1"	"TAF6"	"activate"	"->"	1
"SUPT4H1"	"TCEA1"	"complex; input"	"-"	1
"TSG101"	"VPS37A"	"complex; predicted"	"-"	1
"VAMP8"	"VPS18"	"predicted"	"-"	0.54
"VIM"	"YWHAE"	"predicted"	"-"	0.99
"VIM"	"YWHAQ"	"predicted"	"-"	0.77
"VPS18"	"VPS33A"	"predicted"	"-"	0.99
"VPS18"	"VPS39"	"predicted"	"-"	0.99
"WDR46"	"WDR75"	"activated by; complex; input"	"<-"	1
"YWHAE"	"YWHAQ"	"input; predicted"	"-"	1
