V1,V2
CAMK2G,SLC25A5
CAMK2G,SLC25A6
CAMK2G,SLC6A3
CAMK2G,SLN
CAMK2G,SQSTM1
CAMK2G,SRI
CAMK2G,STAT1
CAMK2G,TRPV1
CAMK2G,VDAC1
CAMK2G,VDAC2
CAMK2G,VDAC3
CAMSAP3,TUBB3
CANX,HLA-DPA1
CANX,HLA-DRB5
CAPZA1,CD59
CAPZA1,HLA-DPA1
CAPZA1,HLA-DRB5
CAPZA1,KDELR1
CAPZA1,SPTB
CAPZA2,CD59
CAPZA2,HLA-DPA1
CAPZA2,HLA-DRB5
CAPZA2,KDELR1
CAPZA2,SPTB
CAPZA3,CD59
CAPZA3,HLA-DRB5
CAPZA3,KDELR1
CAPZB,CD59
CAPZB,HLA-DPA1
CAPZB,HLA-DRB5
CAPZB,KDELR1
CAPZB,SPTB
CARM1,MED10
CARM1,MED11
CARM1,MED17
CARM1,PRKACB
CASC3,NCBP2
CASC3,NUP205
CASC3,PPP2CA
CASC3,SLU7
CASC3,SMG1
CASP10,DDX58
CASP3,PPP2CA
CASP8,DDX58
CASP8,PTEN
CASP8AP2,PHC3
CASS4,PXN
CAV1,FN1
CAV1,PPP2CA
CAV1,PRKACB
CAV1,PTEN
CAV1,TGFB1
CBFB,TGFB1
CBL,JAK1
CBL,KIT
CBL,PPP2CA
CBL,PTEN
CBLC,UBE2L6
CBLL1,PPP2CA
CBLL2,PPP2CA
CBX2,PHC3
CBX3,RPS6KA5
CBX4,PHC3
CBX5,PPP2CA
CBX6,PHC3
CBX8,PHC3
CC2D2A,ODF2
CCAR1,NCBP2
CCAR1,SLU7
CCAR2,RPS19BP1
CCDC120,ODF2
CCL5,TGFB1
CCN2,FN1
CCNB1,MAD1L1
CCNB1,NUP205
CCNB1,ORC3
CCNB1,ORC5
CCNB2,MAD1L1
CCNB2,NUP205
CCNC,MED10
CCNC,MED11
CCNC,MED17
CCNC,TGFB1
CCND1,SP3
CCND3,MED10
CCND3,MED11
CCND3,MED17
CCNE1,ORC3
CCNE2,ORC3
CCNG1,PPP2CA
CCNG1,PPP2R5E
CCNG2,PPP2R5E
CCNH,NCBP2
CCNH,SUPT6H
CCNH,XPC
CCNK,GTF2H2
CCNK,NCBP2
CCNK,POU2F2
CCNK,SUPT6H
CCNK,TAF5
CCNK,ZNF143
CCNT1,NCBP2
CCNT1,POU2F2
CCNT1,SUPT6H
CCNT1,ZNF143
CCNT2,NCBP2
CCNT2,POU2F2
CCNT2,SUPT6H
CCNT2,ZNF143
CCP110,MZT2B
CCP110,ODF2
CCR1,JAK1
CCR5,POU2F2
CCR7,POU2F2
CCT2,TUBB3
CCT3,CLGN
CCT3,TUBB3
CCT4,CLGN
CCT4,TUBB3
CCT5,PPP2CA
CCT5,TUBB3
CCT6A,TUBB3
CCT7,TUBB3
CCT8,TUBB3
CD101,HLA-DRB5
CD109,TGFB1
CD14,SP3
CD151,CD63
CD2,CD59
CD209,TGFB1
CD22,FN1
CD22,LGALS3BP
CD22,POU2F2
CD247,ELMO2
CD247,HLA-DRB5
CD247,MAP4K1
CD274,HLA-DRB5
CD2BP2,NCBP2
CD2BP2,SLU7
CD33,FN1
CD33,LGALS3BP
CD36,PXN
CD37,MAP4K1
CD3D,HLA-DRB5
CD3D,MAP4K1
CD3E,HLA-DRB5
CD3E,MAP4K1
CD3G,ELMO2
CD3G,HLA-DRB5
CD3G,MAP4K1
CD4,HLA-DRB5
CD4,MAP4K1
CD40,SP3
CD40LG,JAK1
CD44,FN1
CD59,CD8A
CD59,CD9
CD59,COG1
CD59,COG2
CD59,COG3
CD59,COG4
CD59,COG5
CD59,COG6
CD59,COG7
CD59,COG8
CD59,COPA
CD59,COPB1
CD59,COPB2
CD59,COPE
CD59,COPG1
CD59,COPG2
CD59,COPZ1
CD59,COPZ2
CD59,CSNK1D
CD59,DCTN1
CD59,DCTN2
CD59,DCTN3
CD59,DCTN4
CD59,DCTN5
CD59,DCTN6
CD59,DYNC1H1
CD59,DYNC1I1
CD59,DYNC1I2
CD59,DYNC1LI1
CD59,DYNC1LI2
CD59,DYNLL1
CD59,DYNLL2
CD59,EGFR
CD59,GBF1
CD59,GOLGA2
CD59,GOLGB1
CD59,GORASP1
CD59,GOSR1
CD59,GOSR2
CD59,RAB1A
CD59,RAB1B
CD59,SAR1B
CD59,SCFD1
CD59,SEC13
CD59,SEC16A
CD59,SEC16B
CD59,SEC22B
CD59,SEC23A
CD59,SEC23IP
CD59,SEC24A
CD59,SEC24B
CD59,SEC24C
CD59,SEC24D
CD59,SEC31A
CD59,SPTA1
CD59,SPTAN1
CD59,SPTB
CD59,SPTBN1
CD59,SPTBN2
CD59,SPTBN4
CD59,SPTBN5
CD59,STX5
CD59,TFG
CD59,TMED10
CD59,TMED2
CD59,TMED3
CD59,TMED7
CD59,TMED9
CD59,TMEM115
CD59,TRAPPC1
CD59,TRAPPC10
CD59,TRAPPC2B
CD59,TRAPPC2L
CD59,TRAPPC3
CD59,TRAPPC4
CD59,TRAPPC5
CD59,TRAPPC6A
CD59,TRAPPC6B
CD59,TRAPPC9
CD59,USO1
CD59,YKT6
CD74,HLA-DRB5
CD79A,POU2F2
CD79A,PTEN
CD79B,POU2F2
CD79B,PTEN
CD83,SP3
CDC16,MAD1L1
CDC2,PPP2R5E
CDC20,MAD1L1
CDC23,MAD1L1
CDC25C,PRKACB
CDC26,MAD1L1
CDC27,CDKN1B
CDC27,MAD1L1
CDC27,PTEN
CDC40,NCBP2
CDC40,NUP205
CDC40,SLU7
CDC42,JAK2
CDC42,MAD1L1
CDC42,OBSCN
CDC42,PTEN
CDC42,SRC
CDC45,ORC3
CDC45,ORC5
CDC5L,NCBP2
CDC5L,SLU7
CDC6,ORC3
CDC6,ORC5
CDC7,ORC3
CDC7,ORC5
CDC73,SUPT6H
CDCA5,MAD1L1
CDCA8,MAD1L1
CDCA8,NUP205
CDH2,OBSCN
CDIPT,PTEN
CDK1,CDKN1B
CDK1,CEP135
CDK1,MAD1L1
CDK1,MZT2B
CDK1,NUP205
CDK1,ODF2
CDK1,ORC3
CDK1,ORC5
CDK1,PPP2R5E
CDK13,DYRK1A
CDK19,MED10
CDK19,MED11
CDK19,MED17
CDK19,TGFB1
CDK2,CDKN1B
CDK2,ORC3
CDK2,ORC5
CDK2,RPTOR
CDK3,PPP2R5E
CDK4,MED10
CDK4,MED11
CDK4,MED17
CDK4,ORC3
CDK4,PDK2
CDK4,TGFB1
CDK5R1,CSNK1G2
CDK5RAP2,MZT2B
CDK5RAP2,ODF2
CDK6,CSNK1G2
CDK7,NCBP2
CDK7,POU2F2
CDK7,SUPT6H
CDK7,XPC
CDK7,ZNF143
CDK8,MED10
CDK8,MED11
CDK8,MED17
CDK8,TGFB1
CDK9,NCBP2
CDK9,POU2F2
CDK9,SUPT6H
CDK9,ZNF143
CDKN1A,SP3
CDKN1B,COPS5
CDKN1B,CUL1
CDKN1B,CUL4A
CDKN1B,DDB1
CDKN1B,EP300
CDKN1B,KPNA1
CDKN1B,LYN
CDKN1B,MCM7
CDKN1B,NUP50
CDKN1B,PIN1
CDKN1B,PPP2CA
CDKN1B,PSMA1
CDKN1B,PSMA2
CDKN1B,PSMA4
CDKN1B,PSMA5
CDKN1B,PSMA7
CDKN1B,PSMB10
CDKN1B,PSMB2
CDKN1B,PSMB3
CDKN1B,PSMB4
CDKN1B,PSMB5
CDKN1B,PSMB6
CDKN1B,PSMB7
CDKN1B,PSMC1
CDKN1B,PSMC3
CDKN1B,PSMC5
CDKN1B,PSMC6
CDKN1B,PSMD1
CDKN1B,PSMD10
CDKN1B,PSMD11
CDKN1B,PSMD12
CDKN1B,PSMD13
CDKN1B,PSMD14
CDKN1B,PSMD2
CDKN1B,PSMD4
CDKN1B,PSMD6
CDKN1B,PSMD7
CDKN1B,PSMD8
CDKN1B,PSMD9
CDKN1B,PSME2
CDKN1B,PSME3
CDKN1B,PSMF1
CDKN1B,PTGES3
CDKN1B,RB1
CDKN1B,RBBP5
CDKN1B,RHOA
CDKN1B,RPS6KA1
CDKN1B,STMN1
CDKN1B,VCP
CDKN1B,VTN
CDKN1B,WDR5
CDKN1B,XPO1
CDKN1B,YWHAB
CDKN1B,YWHAE
CDKN1B,YWHAG
CDKN1B,YWHAH
CDKN1B,YWHAZ
CDKN2B,SP3
CDKN2C,PPP2CA
CDKN2D,SP3
CDT1,ORC3
CDT1,ORC5
CEACAM1,FN1
CEACAM1,PXN
CEACAM6,FN1
CEACAM8,FN1
CEBPA,FN1
CEBPA,MED10
CEBPA,MED11
CEBPA,MED17
CEBPA,TF
CEBPA,TGFB1
CEBPA,VPS72
CEBPB,FN1
CEBPB,MED10
CEBPB,MED11
CEBPB,MED17
CEBPB,PPP2CA
CEBPB,SERPINA1
CEBPB,SP3
CEBPB,TF
CEBPB,TGFB1
CEBPD,TGFB1
CELA1,SERPINA1
CENPA,MAD1L1
CENPC,MAD1L1
CENPC,PTEN
CENPE,HLA-DRB5
CENPE,KDELR1
CENPE,MAD1L1
CENPF,MAD1L1
CENPH,MAD1L1
CENPI,MAD1L1
CENPJ,MZT2B
CENPJ,ODF2
CENPK,MAD1L1
CENPL,MAD1L1
CENPM,MAD1L1
CENPN,MAD1L1
CENPO,MAD1L1
CENPP,MAD1L1
CENPQ,MAD1L1
CENPS,MAD1L1
CENPT,MAD1L1
CENPU,MAD1L1
CEP131,CEP135
CEP131,MZT2B
CEP131,ODF2
CEP135,CKAP5
CEP135,CLASP1
CEP135,DCTN1
CEP135,DCTN3
CEP135,DYNC1H1
CEP135,DYNLL1
CEP135,HAUS5
CEP135,HSP90AA1
CEP135,MZT2B
CEP135,NUMA1
CEP135,ODF2
CEP135,PCM1
CEP135,PCNT
CEP135,PPP2R1A
CEP135,PRKACA
CEP135,PRKAR2B
CEP135,RAB8A
CEP135,TUBB
CEP135,TUBG1
CEP135,TUBGCP2
CEP135,TUBGCP3
CEP135,TUBGCP4
CEP135,YWHAE
CEP135,YWHAG
CEP152,MZT2B
CEP152,ODF2
CEP162,ODF2
CEP164,MZT2B
CEP164,ODF2
CEP192,MZT2B
CEP192,ODF2
CEP250,MZT2B
CEP250,ODF2
CEP290,MZT2B
CEP290,ODF2
CEP41,MZT2B
CEP41,ODF2
CEP57,MZT2B
CEP57,ODF2
CEP63,MZT2B
CEP63,ODF2
CEP70,MZT2B
CEP70,ODF2
CEP72,MZT2B
CEP72,ODF2
CEP76,MZT2B
CEP76,ODF2
CEP78,MZT2B
CEP78,ODF2
CEP83,ODF2
CEP89,ODF2
CEP97,ODF2
CERT,CSNK1G2
CETN1,VPS37A
CETN2,MZT2B
CETN2,ODF2
CETN2,PHC3
CETN2,XPC
CFL1,PTEN
CFTR,PRKACB
CFTR,VPS37A
CGA,NFIC
CGN,TGFB1
CHAF1A,XPC
CHCHD1,MRPL2
CHCHD1,MRPL34
CHCHD1,MRPS14
CHCHD1,MTIF3
CHD1L,XPC
CHD8,NFATC2IP
CHD8,ZNF143
CHD9,MED10
CHD9,MED11
CHD9,MED17
CHEK1,KIT
CHEK1,PPP2CA
CHERP,NCBP2
CHERP,SLU7
CHI3L1,SP3
CHKA,CHKB
CHKB,FOS
CHKB,HIF1A
CHKB,JUN
CHKB,PIK3CA
CHKB,PIK3CA VARIANT PROTEIN
CHKB,PIK3CB
CHKB,PIK3CD
CHKB,PIK3R1
CHKB,PIK3R2
CHKB,PIK3R3
CHKB,RAF1
CHKB,RALGDS
CHM,RABGGTA
CHML,RAB27B
CHML,RABGGTA
CHMP1A,VPS37A
CHMP2A,VPS37A
CHMP2B,VPS37A
CHMP3,VPS37A
CHMP4A,VPS37A
CHMP4B,VPS37A
CHMP4C,VPS37A
CHMP5,VPS37A
CHMP6,VPS37A
CHMP7,VPS37A
CHRNA4,EPX
CHRNB4,SP3
CHTOP,NCBP2
CHTOP,NUP205
CHTOP,SLU7
CHUK,DDX58
CHUK,NLRX1
CHUK,PPP2CA
CHUK,PTEN
CHURC1-FNTB,RABGGTA
CIITA,HLA-DRB5
CIITA,POU2F2
CILP,TGFB1
CISH,JAK1
CIT,MYH11
CKAP5,MAD1L1
CKAP5,MZT2B
CKAP5,ODF2
CLASP1,MAD1L1
CLASP1,MZT2B
CLASP1,ODF2
CLASP2,MAD1L1
CLASRP,SUGP2
CLC,SP1
CLCF1,JAK1
CLEC4M,TGFB1
CLGN,DARS
CLGN,DNAJA1
CLGN,EPRS
CLGN,HSP90AA1
CLGN,HSP90AB1
CLGN,HSP90B1
CLGN,KPNA3
CLGN,PDIA6
CLGN,PPP2R1A
CLGN,PSMC1
CLGN,PSMC3
CLGN,PSMC5
CLGN,PSMC6
CLGN,RCN1
CLGN,RPS5
CLGN,SEC61A1
CLGN,VCP
CLIP1,MAD1L1
CLIP1,RPTOR
CLIP1,TUBB3
CLNS1A,PPP2CA
CLOCK,PPP2R5E
CLP1,NCBP2
CLP1,SLU7
CLSPN,ORC3
CLSPN,ORC5
CLTA,HLA-DRB5
CLTA,KDELR1
CLTA,RPS6KA5
CLTA,TF
CLTB,EPN1
CLTB,KDELR1
CLTB,TF
CLTC,EPN1
CLTC,HLA-DPA1
CLTC,HLA-DRB5
CLTC,RPS6KA5
CLTC,TF
CLTC,TGFBRAP1
CLTCL1,TF
CNOT2,SP3
CNTF,JAK1
CNTFR,JAK1
CNTN1,SP3
CNTRL,MZT2B
CNTRL,ODF2
COG1,CUX1
COG1,KDELR1
COG1,SPTB
COG2,CUX1
COG2,KDELR1
COG2,SPTB
COG3,CUX1
COG3,KDELR1
COG4,CUX1
COG4,KDELR1
COG5,CUX1
COG5,KDELR1
COG6,CUX1
COG6,KDELR1
COG7,CUX1
COG7,KDELR1
COG8,CUX1
COG8,KDELR1
COL10A1,FN1
COL10A1,PXN
COL11A1,FN1
COL11A1,PXN
COL11A2,FN1
COL11A2,PXN
COL12A1,FN1
COL12A1,PXN
COL13A1,FN1
COL13A1,PXN
COL14A1,FN1
COL14A1,PXN
COL15A1,FN1
COL15A1,PXN
COL16A1,FN1
COL16A1,PXN
COL17A1,FN1
COL17A1,PXN
COL18A1,NFIC
COL19A1,FN1
COL19A1,PXN
COL1A1,FN1
COL1A1,NFIC
COL1A1,PXN
COL1A1,SP3
COL1A1,TGFB1
COL1A2,FN1
COL1A2,PXN
COL2A1,FN1
COL2A1,PXN
COL2A1,SP3
COL3A1,FN1
COL3A1,PXN
COL4A1,FN1
COL4A1,PXN
COL4A2,FN1
COL4A2,PXN
COL4A3,FN1
COL4A3,PXN
COL4A4,FN1
COL4A4,PXN
COL4A5,FN1
COL4A5,PXN
COL4A6,FN1
COL4A6,PXN
COL5A1,FN1
COL5A1,LGALS3BP
COL5A1,PXN
COL5A2,FN1
COL5A2,PXN
COL5A3,FN1
COL5A3,PXN
COL6A1,FN1
COL6A1,LGALS3BP
COL6A1,PXN
COL6A2,FN1
COL6A2,PXN
COL6A3,FN1
COL6A3,PXN
COL7A1,FN1
COL7A1,PXN
COL8A1,FN1
COL8A1,PXN
COL8A2,FN1
COL8A2,PXN
COL9A1,FN1
COL9A1,PXN
COL9A2,FN1
COL9A2,PXN
COL9A3,FN1
COL9A3,PXN
COPA,KDELR1
COPA,SPTB
COPB1,KDELR1
COPB2,KDELR1
COPB2,SPTB
COPE,KDELR1
COPE,SPTB
COPG1,KDELR1
COPG2,KDELR1
COPS2,GTF2H2
COPS2,MCRS1
COPS2,XPC
COPS3,GTF2H2
COPS3,MCRS1
COPS3,XPC
COPS4,XPC
COPS5,GTF2H2
COPS5,MCRS1
COPS5,SLC30A9
COPS5,XPC
COPS6,XPC
COPS7A,GTF2H2
COPS7A,MCRS1
COPS7A,XPC
COPS7B,XPC
COPS8,XPC
COPZ1,KDELR1
COPZ1,SPTB
COPZ2,KDELR1
CPSF1,NCBP2
CPSF1,NUP205
CPSF1,SLU7
CPSF1,TAF5
CPSF2,NCBP2
CPSF2,NUP205
CPSF2,SLU7
CPSF3,NCBP2
CPSF3,NUP205
CPSF3,SLU7
CPSF4,NCBP2
CPSF4,NUP205
CPSF4,SLU7
CPSF6,NCBP2
CPSF7,NCBP2
CPSF7,SLU7
CRCP,NFIC
CRCP,NFIX
CRCP,ZNF143
CREB1,FN1
CREB1,HLA-DRB5
CREB1,NFIX
CREB1,POLG2
CREB1,PRKACB
CREB1,RPS6KA5
CREB1,TF
CREB1,TGFB1
CREB3,PRKACB
CREB3,RPS6KA5
CREB3L1,PRKACB
CREB3L1,RPS6KA5
CREB3L2,PRKACB
CREB3L2,RPS6KA5
CREB3L3,PRKACB
CREB3L3,RPS6KA5
CREB3L4,PRKACB
CREB3L4,RPS6KA5
CREB5,PRKACB
CREB5,RPS6KA5
CREBBP,MED10
CREBBP,MED11
CREBBP,MED17
CREBBP,NFIC
CREBBP,PDK1
CREBBP,PRKACB
CREBBP,SUPT7L
CREBBP,TF
CREBBP,TGFB1
CRK,DOCK5
CRK,ELMO2
CRK,FN1
CRK,KIT
CRK,MAP4K1
CRK,PXN
CRKL,DOCK5
CRKL,ELMO2
CRKL,KIT
CRKL,MAP4K1
CRKL,PTEN
CRKL,PXN
CRLF1,JAK1
CRLF2,JAK1
CRNKL1,NCBP2
CRNKL1,SLU7
CRX,SP3
CRY2,DYRK1A
CSE1L,KPNA1
CSE1L,KPNA2
CSE1L,KPNA3
CSE1L,KPNA4
CSE1L,KPNA5
CSE1L,KPNA6
CSE1L,KPNA7
CSE1L,PPP1R13B
CSE1L,RAN
CSE1L,TP53
CSE1L,TP53BP2
CSF1,KIT
CSF2,PRKACB
CSF2RA,JAK1
CSF2RA,PRKACB
CSF2RB,JAK1
CSF2RB,KIT
CSF2RB,PRKACB
CSF3,JAK1
CSF3,POU2F2
CSF3R,JAK1
CSH1,JAK1
CSH2,JAK1
CSK,FN1
CSK,HLA-DRB5
CSK,PXN
CSNK1A1,PPP2CA
CSNK1A1,PPP2R5E
CSNK1A1,PRKACB
CSNK1A1L,PPP2CA
CSNK1A1L,PPP2R5E
CSNK1A1L,PRKACB
CSNK1D,MZT2B
CSNK1D,ODF2
CSNK1D,PPP2CA
CSNK1D,PPP2R5E
CSNK1D,PRKACB
CSNK1D,SERPINA1
CSNK1E,MZT2B
CSNK1E,ODF2
CSNK1E,PPP2CA
CSNK1E,PPP2R5E
CSNK1E,PRKACB
CSNK1G1,CSNK1G2
CSNK1G1,PRKACB
CSNK1G2,CSNK2A1
CSNK1G2,CSNK2A2
CSNK1G2,CSNK2B
CSNK1G2,CTNNB1
CSNK1G2,DVL1
CSNK1G2,DVL2
CSNK1G2,DVL3
CSNK1G2,FBXW11
CSNK1G2,FOXO1
CSNK1G2,FRAT1
CSNK1G2,FRAT2
CSNK1G2,FZD1
CSNK1G2,FZD10
CSNK1G2,FZD2
CSNK1G2,FZD3
CSNK1G2,FZD4
CSNK1G2,FZD5
CSNK1G2,FZD6
CSNK1G2,FZD7
CSNK1G2,FZD8
CSNK1G2,FZD9
CSNK1G2,GLI2
CSNK1G2,GRK2
CSNK1G2,GRK3
CSNK1G2,GSK3B
CSNK1G2,LRP5
CSNK1G2,LRP5L
CSNK1G2,LRP6
CSNK1G2,LRRK2
CSNK1G2,MAP2K3
CSNK1G2,MOK
CSNK1G2,MTA1
CSNK1G2,NRG2
CSNK1G2,PPP2CA
CSNK1G2,PPP2CB
CSNK1G2,PPP2R5A
CSNK1G2,PPP2R5B
CSNK1G2,PPP2R5C
CSNK1G2,PPP2R5D
CSNK1G2,PPP2R5E
CSNK1G2,PPP6C
CSNK1G2,PRKACA
CSNK1G2,PRKACB
CSNK1G2,PRKACG
CSNK1G2,RAP1GAP
CSNK1G2,SAG
CSNK1G2,SFN
CSNK1G2,SMO
CSNK1G2,TP53
CSNK1G2,WNT1
CSNK1G2,WNT10A
CSNK1G2,WNT10B
CSNK1G2,WNT11
CSNK1G2,WNT16
CSNK1G2,WNT2
CSNK1G2,WNT2B
CSNK1G2,WNT3
CSNK1G2,WNT3A
CSNK1G2,WNT4
CSNK1G2,WNT5A
CSNK1G2,WNT5B
CSNK1G2,WNT6
CSNK1G2,WNT7A
CSNK1G2,WNT7B
CSNK1G2,WNT8A
CSNK1G2,WNT8B
CSNK1G2,WNT9A
CSNK1G2,WNT9B
CSNK1G2,YWHAB
CSNK1G2,YWHAE
CSNK1G2,YWHAG
CSNK1G2,YWHAH
CSNK1G2,YWHAQ
CSNK1G2,YWHAZ
CSNK1G3,PPP2CA
CSNK1G3,PPP2R5E
CSNK1G3,PRKACB
CSNK2A1,NFIC
CSNK2A1,PPP2CA
CSNK2A1,PPP2R5E
CSNK2A1,PRKACB
CSNK2A1,PTEN
CSNK2A1,SRC
CSNK2A1,SUPT6H
CSNK2A2,NFIC
CSNK2A2,PPP2CA
CSNK2A2,PPP2R5E
CSNK2A2,PTEN
CSNK2A3,PTEN
CSNK2B,PPP2CA
CSNK2B,PPP2R5E
CSNK2B,PTEN
CSNK2B,TGFB1
CSTA,KRT1
CSTF1,NCBP2
CSTF1,SLU7
CSTF2,NCBP2
CSTF2,SLU7
CSTF2T,NCBP2
CSTF2T,SLU7
CSTF3,NCBP2
CSTF3,SLU7
CTBP1,PHC3
CTCF,FN1
CTCF,NACC1
CTCF,TGFB1
CTDP1,GTF2H2
CTDP1,NCBP2
CTDP1,SUPT6H
CTF1,JAK1
CTNNA1,PXN
CTNNA1,SRC
CTNNAL1,PXN
CTNNB1,PPP2CA
CTNNB1,PPP2R5E
CTNNB1,PRKACB
CTNNB1,PTEN
CTNNB1,PXN
CTNNBL1,NCBP2
CTNNBL1,SLU7
CTNND1,SRC
CTR9,SUPT6H
CTSB,SP3
CTSD,HLA-DPA1
CTSD,HLA-DRB5
CTSF,HLA-DRB5
CTSL,HLA-DRB5
CTSL,SP3
CTSS,HLA-DPA1
CTSS,HLA-DRB5
CTSV,HLA-DRB5
CTTN,TF
CUL1,JAK2
CUL4A,GTF2H2
CUL4A,MCRS1
CUL4A,XPC
CUL4B,XPC
CUX1,GOLGA5
CUX1,GOLIM4
CUX1,GOSR1
CUX1,HMGB1
CUX1,MAX
CUX1,PIK3CA
CUX1,PIK3R1
CUX1,PLCG1
CUX1,RAB33B
CUX1,RB1
CUX1,SATB1
CUX1,STAT5A
CUX1,STAT5B
CUX1,STX5
CUX1,YKT6
CWC15,NCBP2
CWC15,SLU7
CWC22,NCBP2
CWC22,SLU7
CWC25,NCBP2
CWC25,SLU7
CWC27,NCBP2
CXCL1,PTEN
CXCL1,SP3
CXCL12,PXN
CXCL8,PPP2CA
CXCR2,PPP2CA
CXCR4,PXN
CYBA,TGFB1
CYLD,DDX58
CYP11A1,NFIC
CYP11A1,SP3
CYP17A1,NFIC
CYP17A1,PRKACB
CYP17A1,SP3
CYP19A1,PRKACB
CYP1A1,SP3
CYP1A2,NFIC
CYP24A1,PRKACB
CYP27A1,SP3
CYP27B1,NFIC
CYP27B1,PRKACB
CYP3A7,SP3
CYTH2,PTEN
DAB2IP,PPP2CA
DAP3,MRPL2
DAP3,MRPL34
DAP3,MRPS14
DAP3,MRPS33
DAP3,MTIF3
DAPP1,MAP4K1
DAXX,TGFB1
DBF4,ORC3
DBF4,ORC5
DBF4B,ORC5
DBNL,MAP4K1
DCN,FN1
DCN,TGFB1
DCP1A,NCBP2
DCP1A,PPP2CA
DCP1A,SMG1
DCTN1,HLA-DPA1
DCTN1,HLA-DRB5
DCTN1,KDELR1
DCTN1,MZT2B
DCTN1,ODF2
DCTN1,SPTB
DCTN1,TUBB3
DCTN2,HLA-DRB5
DCTN2,KDELR1
DCTN2,MZT2B
DCTN2,ODF2
DCTN3,HLA-DPA1
DCTN3,HLA-DRB5
DCTN3,KDELR1
DCTN3,MZT2B
DCTN3,ODF2
DCTN3,SPTB
DCTN3,TUBB3
DCTN4,HLA-DRB5
DCTN4,KDELR1
DCTN5,HLA-DRB5
DCTN5,KDELR1
DCTN6,HLA-DRB5
DCTN6,KDELR1
DDB1,GTF2H2
DDB1,MCRS1
DDB1,NFIC
DDB1,PTEN
DDB1,RPTOR
DDB1,TAF5
DDB1,XPC
DDB2,GTF2H2
DDB2,MCRS1
DDB2,NFIC
DDB2,XPC
DDX1,PXN
DDX17,DDX58
DDX17,POU2F2
DDX19A,DDX19B
DDX19B,NUP214
DDX20,NUP205
DDX23,NCBP2
DDX23,SLU7
DDX39A,MCM3AP
DDX39A,NCBP2
DDX39A,SLU7
DDX39B,NCBP2
DDX39B,SLU7
DDX3X,DDX58
DDX3X,SP3
DDX42,NCBP2
DDX42,SLU7
DDX46,NCBP2
DDX46,SLU7
DDX5,NCBP2
DDX5,SLU7
DDX5,SP3
DDX58,DDX60
DDX58,DHX58
DDX58,FADD
DDX58,FOXO3
DDX58,G3BP1
DDX58,G3BP2
DDX58,HERC5
DDX58,IFIH1
DDX58,IFIT3
DDX58,IKBKB
DDX58,IKBKE
DDX58,IKBKG
DDX58,IRF1
DDX58,IRF3
DDX58,IRF7
DDX58,IRF8
DDX58,IRGM
DDX58,ISG15
DDX58,ITCH
DDX58,MAP3K1
DDX58,MAP3K14
DDX58,MAVS
DDX58,NFKB1
DDX58,NLRC5
DDX58,NLRX1
DDX58,NOD2
DDX58,OASL
DDX58,OTUD5
DDX58,PCBP1
DDX58,PCBP2
DDX58,PRKRA
DDX58,PYCARD
DDX58,RIPK1
DDX58,RNF125
DDX58,RNF135
DDX58,RNF216
DDX58,SEC14L1
DDX58,SIGLEC10
DDX58,SIGLEC16
DDX58,SIKE1
DDX58,SRC
DDX58,STAT1
DDX58,STAT2
DDX58,TAL1
DDX58,TANK
DDX58,TBK1
DDX58,TFAP2C
DDX58,TMEM173
DDX58,TRAF2
DDX58,TRAF3
DDX58,TRAF6
DDX58,TRIM25
DDX58,TRIM32
DDX58,UBA7
DDX58,UBE2D3
DDX58,UBE2L6
DDX58,USP17L2
DDX58,USP21
DDX58,USP25
DDX58,WRNIP1
DDX58,ZC3HAV1
DEK,SP3
DHX15,NCBP2
DHX15,SLU7
DHX16,NCBP2
DHX16,SLU7
DHX38,NCBP2
