"","x"
"1","C12orf48"
"2","GPA33"
"3","ANKS4B"
"4","ZNF75A"
"5","C15orf29"
"6","C5orf54"
"7","BICC1"
"8","PDCD10"
"9","C20orf194"
"10","ALMS1"
"11","TAS2R50"
"12","USP6NL"
"13","KAL1"
"14","GPR55"
"15","C1orf182"
"16","PFN4"
"17","C1orf84"
"18","AGPHD1"
"19","ASPG"
"20","NOS2"
"21","FOXH1"
"22","C6orf167"
"23","CATSPER4"
"24","SYDE2"
"25","KIF26B"
"26","PPAPDC3"
"27","TMEM200B"
"28","DLGAP2"
"29","NCRNA00219"
"30","SNORD87"
"31","CLUAP1"
"32","LOC100130691"
"33","LIME1"
"34","LOC442308"
"35","FZD3"
"36","DNAJC2"
"37","ADPRHL2"
"38","C6orf182"
"39","DNAH5"
"40","PAX4"
"41","PRR15"
"42","KIF17"
"43","LOC100133991"
"44","A2M"
"45","HSPA4"
"46","SIGLEC5"
"47","MBOAT4"
"48","HIST1H4G"
"49","TGS1"
"50","IGFL4"
"51","UCHL5"
"52","SIX3"
"53","MAPK11"
"54","PLCE1"
"55","LY86"
"56","PTPRQ"
"57","MOCOS"
"58","APCS"
"59","SERTAD1"
"60","SERPIND1"
"61","ELAVL3"
"62","GATSL2"
"63","PCDHA11"
"64","C9orf57"
"65","MDP1"
"66","ALDOB"
"67","GLYATL2"
"68","MMP20"
"69","RNF213"
"70","ADRA2C"
"71","FAM81B"
"72","BCL2L1"
"73","PDE7B"
"74","RPS18"
"75","HIST2H2AA3"
"76","SNORD4A"
"77","LMOD3"
"78","PNMAL2"
"79","BEND7"
"80","CHGB"
"81","CCL24"
"82","SNORD63"
"83","LOC401010"
"84","SLC10A5"
"85","C1orf59"
"86","C4BPB"
"87","ZFP30"
"88","IQCK"
"89","PRPF18"
"90","ACY3"
"91","CALB2"
"92","NAALADL1"
"93","POTEE"
"94","ELN"
"95","TPM2"
"96","C17orf78"
"97","ACER2"
"98","LOC150786"
"99","PCYT2"
"100","ANG"
"101","KCNIP1"
"102","DMRTC2"
"103","LAMC2"
"104","LMAN1"
"105","SLC12A6"
"106","CEACAM5"
"107","C21orf63"
"108","AGR2"
"109","PAGE2B"
"110","LOC643387"
"111","SNORA38B"
"112","BHMT2"
"113","RELA"
"114","TPPP2"
"115","DRP2"
"116","NR2E1"
"117","CLIP3"
"118","ANP32D"
"119","ARTN"
"120","CADM4"
"121","CACNA2D1"
"122","AFF3"
"123","RGS19"
"124","C1orf92"
"125","WNT3"
"126","IFNA2"
"127","LOC728743"
"128","ID4"
"129","CYP17A1"
"130","PIP4K2A"
"131","LYPD4"
"132","PCDHGC5"
"133","CDC42BPB"
"134","MFSD6"
"135","FLJ33630"
"136","CCDC84"
"137","TEAD1"
"138","CLDN22"
"139","GALNT2"
"140","FUT2"
"141","ATP8B5P"
"142","ASPHD2"
"143","SMO"
"144","FAM36A"
"145","HIST2H3C"
"146","RGPD8"
"147","RIMBP3C"
"148","MADCAM1"
"149","C9orf156"
"150","FRMD6"
"151","ETV3"
"152","ASCL3"
"153","CLECL1"
"154","ID2"
"155","GTF2IRD2B"
"156","GPX8"
"157","ADAM22"
"158","BAGE"
"159","BEX1"
"160","WDR75"
"161","KCNG1"
"162","NLGN1"
"163","LAMC1"
"164","OR5K2"
"165","PVRL4"
"166","B3GAT2"
"167","SNORD68"
"168","MMP16"
"169","MST1"
"170","FZD10"
"171","ALDH1A1"
"172","C8orf83"
"173","FAM89A"
"174","TESK2"
"175","ROR2"
"176","SH2D1B"
"177","GDAP2"
"178","SNORD115-37"
"179","EFCAB4A"
"180","MAB21L1"
"181","ZNF705D"
"182","GNAI1"
"183","NTN3"
"184","VAPB"
"185","TUSC5"
"186","PALMD"
"187","SULT4A1"
"188","MKRN3"
"189","KCNMB2"
"190","GPR82"
"191","MASP1"
"192","RXFP2"
"193","CDC20"
"194","MTUS2"
"195","SETBP1"
"196","HIST2H2BA"
"197","METTL8"
"198","CRYBG3"
"199","LOC644538"
"200","LGSN"
"201","LOC646813"
"202","PCDHB10"
"203","SLC35F5"
"204","RPL24"
"205","SLC6A11"
"206","NME2P1"
"207","KRT18"
"208","AMPH"
"209","DPY19L2P2"
"210","SLC38A5"
"211","CSDC2"
"212","ATP6V1G2"
"213","VWDE"
"214","TWF1"
"215","POTEF"
"216","HAS1"
"217","ZNF678"
"218","F8"
"219","DHX40"
"220","NPTX1"
"221","COL16A1"
"222","CA7"
"223","MICA"
"224","SLC6A10P"
"225","GOLGA6C"
"226","ANO5"
"227","WDR53"
"228","CYP2R1"
"229","PLA2G2F"
"230","ZBBX"
"231","C9"
"232","AGBL4"
"233","SLC6A12"
"234","DNAH3"
"235","SNORD98"
"236","LOC441455"
"237","TTL"
"238","CNGA4"
"239","G6PC2"
"240","LGALS1"
"241","ACSM1"
"242","HSPB6"
"243","SPRED3"
"244","NTSR2"
"245","TACR3"
"246","LOC606724"
"247","LBP"
"248","SH3BGR"
"249","TMEM9B"
"250","UPK3A"
"251","VCY"
"252","RRM1"
"253","LRCH2"
"254","CCL11"
"255","PRRX1"
"256","ID1"
"257","MATN3"
"258","CKMT1A"
"259","TLE2"
"260","LHX6"
"261","CCK"
"262","TAS2R19"
"263","LHFP"
"264","ANP32C"
"265","KSR2"
"266","AQP7P3"
"267","IL1F6"
"268","KANK4"
"269","LOC100133893"
"270","DIRAS3"
"271","TSNAX-DISC1"
"272","CA13"
"273","LYPLA2"
"274","CPZ"
"275","SLMO2"
"276","LOC100129387"
"277","DPF1"
"278","NACA"
"279","EXD1"
"280","UCP3"
"281","DLEU2"
"282","BMP6"
"283","ACTA1"
"284","CACNG1"
"285","ESPNL"
"286","SCNM1"
"287","FCER1A"
"288","P4HA2"
"289","IL5"
"290","CNKSR2"
"291","RNGTT"
"292","BMP8B"
"293","KIAA0125"
"294","GDPD2"
"295","TMSL3"
"296","FAM127C"
"297","LHFPL1"
"298","TAS2R1"
"299","VENTXP7"
"300","SNORD115-7"
"301","C9orf128"
"302","LOC388152"
"303","PPFIA2"
"304","C14orf50"
"305","SCG5"
"306","SCT"
"307","LIN7A"
"308","ARHGEF15"
"309","TCTA"
"310","FAM156A"
"311","C6orf162"
"312","ZNF420"
"313","SLC25A29"
"314","MYC"
"315","PTRF"
"316","PTPRT"
"317","PRRG2"
"318","PTK2B"
"319","CSMD2"
"320","GSTM3"
"321","KIAA1486"
"322","GJA3"
"323","C2orf49"
"324","ATP5E"
"325","C9orf152"
"326","LOC550643"
"327","GPR143"
"328","TINAG"
"329","OR1J2"
"330","PCDHA3"
"331","ABCA13"
"332","XKRX"
"333","HLF"
"334","VDAC1"
"335","PKIB"
"336","KHDRBS3"
"337","RASGRF2"
"338","DUSP27"
"339","LOC284837"
"340","PPP3R2"
"341","C20orf27"
"342","RFPL4B"
"343","TMEM30C"
"344","NCS1"
"345","GAS2"
"346","TRIM4"
"347","FOXL1"
"348","SIX4"
"349","ELFN1"
"350","YTHDC2"
"351","TMEM126A"
"352","TAS2R5"
"353","DCC"
"354","GRIK5"
"355","SH3RF1"
"356","FLRT3"
"357","HCG18"
"358","GPR64"
"359","HBA1"
"360","C4orf47"
"361","MMP17"
"362","ZNF20"
"363","EMR4P"
"364","RSPO3"
"365","OR13C4"
"366","ZNF597"
"367","PRSS3"
"368","MPDZ"
"369","MLN"
"370","CPSF1"
"371","KIAA1462"
"372","DSCAM"
"373","RAET1G"
"374","KRT14"
"375","HIST2H4A"
"376","SPDYE1"
"377","LOC388588"
"378","CAMK2A"
"379","LOC151174"
"380","PCBP4"
"381","NTNG2"
"382","CASR"
"383","SULT2A1"
"384","GPR176"
"385","SVIL"
"386","TLL1"
"387","OR2C1"
"388","TNIP2"
"389","THUMPD3"
"390","MS4A6E"
"391","KCNT2"
"392","IRGM"
"393","C6orf57"
"394","CAPN12"
"395","DUOX2"
"396","ANGPT2"
"397","FAM46B"
"398","TAS2R46"
"399","HHLA2"
"400","PPP1R1A"
"401","FOXP2"
"402","CDH6"
"403","IL2RB"
"404","VSTM2A"
"405","APOB48R"
"406","NR2E3"
"407","UPF2"
"408","ZNF213"
"409","SNORD116-11"
"410","KIAA0087"
"411","RPL3"
"412","SI"
"413","WDHD1"
"414","HAVCR1"
"415","OR56B1"
"416","TPCN1"
"417","SEMA7A"
"418","LOC401387"
"419","PLIN1"
"420","GBP7"
"421","FOXE1"
"422","REL"
"423","CCDC48"
"424","OCLN"
"425","ITIH5L"
"426","TMEM176A"
"427","BVES"
"428","ALB"
"429","SYNC"
"430","PLEKHG5"
"431","OLFML2B"
"432","TTN"
"433","CYorf15B"
"434","CLCC1"
"435","OSR2"
"436","OR13D1"
"437","A4GALT"
"438","EDA"
"439","ZNF562"
"440","GLT25D2"
"441","C2orf67"
"442","C4orf3"
"443","PRTN3"
"444","SCARA5"
"445","ARHGAP42"
"446","CYP2J2"
"447","FAM7A3"
"448","LOC100128542"
"449","GPR84"
"450","PADI6"
"451","C6orf195"
"452","SCYL1"
"453","HOXA1"
"454","KY"
"455","CACNA1H"
"456","ACCN4"
"457","TMEM179"
"458","ALPPL2"
"459","PRKAG3"
"460","PNMA5"
"461","FSTL3"
"462","CXXC5"
"463","ANKRD35"
"464","PRAMEF10"
"465","CARD17"
"466","ZNFX1"
"467","HHIPL1"
"468","MOSC2"
"469","BMX"
"470","ESYT3"
"471","SLC7A3"
"472","HIST2H2BF"
"473","ABCC8"
"474","SDC4"
"475","SDC3"
"476","GRAMD1C"
"477","FBN2"
"478","LIMS3-LOC440895"
"479","IDO1"
"480","SORCS3"
"481","LAPTM4B"
"482","TMEM179B"
"483","PLLP"
"484","OR2B6"
"485","BAALC"
"486","FGF17"
"487","OR13F1"
"488","FAM86B1"
"489","FJX1"
"490","ST6GALNAC1"
"491","GLB1"
"492","MACC1"
"493","MPPED2"
"494","GPR123"
"495","LOC153684"
"496","FAM90A1"
"497","GJB6"
"498","SDC4P"
"499","PROK2"
"500","ZNF707"
"501","ADAMTS4"
"502","ONECUT2"
"503","ZNF829"
"504","RAB3IP"
"505","SEH1L"
"506","TRIB2"
"507","PLAT"
"508","SMNDC1"
"509","CYP1A2"
"510","CMTM5"
"511","TSPAN13"
"512","CXADRP2"
"513","CELA2A"
"514","NUDT12"
"515","C9orf130"
"516","SP8"
"517","SLC9A5"
"518","TMCO5A"
"519","DDOST"
"520","HHIP"
"521","EPHX4"
"522","CDC42EP5"
"523","NPFFR2"
"524","OLIG2"
"525","PKLR"
"526","PCDHA10"
"527","CDH12"
"528","SLC36A4"
"529","DLK1"
"530","KLHL33"
"531","C1orf130"
"532","CEP170"
"533","RNASE10"
"534","PEG3AS"
"535","CPXCR1"
"536","CCR3"
"537","GUCY1B2"
"538","CGN"
"539","WNT7B"
"540","FOXI1"
"541","KIR2DS1"
"542","LINGO4"
"543","TMEM149"
"544","OR4D10"
"545","APOC2"
"546","ARV1"
"547","SLC9A10"
"548","APOC1P1"
"549","TUBB4Q"
"550","FRMD7"
"551","FCN2"
"552","WLS"
"553","H1FNT"
"554","TMEM106C"
"555","PAH"
"556","GSTM5"
"557","RGL4"
"558","WTAP"
"559","CRYBB3"
"560","PPAP2B"
"561","RAB21"
"562","KRT81"
"563","LONRF2"
"564","LARGE"
"565","MT1L"
"566","APBB2"
"567","IRX3"
"568","GOLGA6L9"
"569","NTN1"
"570","LOC441601"
"571","DEFA1B"
"572","MYOZ1"
"573","OR3A2"
"574","CCDC157"
"575","WFDC5"
"576","GUCY2D"
"577","PABPC4"
"578","TRIM53"
"579","DUSP5"
"580","CLEC4GP1"
"581","GPR111"
"582","CXCL13"
"583","SNAI3"
"584","MAMDC2"
"585","TMEM180"
"586","CDR2"
"587","TRA2A"
"588","NOVA2"
"589","PCDHAC2"
"590","ADCYAP1"
"591","KCNK5"
"592","DARC"
"593","MAP2K1"
"594","LPL"
"595","TANC1"
"596","CES3"
"597","SNORD115-13"
"598","CLDN11"
"599","CRB1"
"600","ZNF507"
"601","KLF11"
"602","MFRP"
"603","MMP28"
"604","CYP2C8"
"605","SIX5"
"606","RORC"
"607","C8orf22"
"608","DCN"
"609","C10orf110"
"610","CYP2B7P1"
"611","EYA1"
"612","L1TD1"
"613","LOC100132287"
"614","TBC1D3C"
"615","TMEM98"
"616","NPC1"
"617","ESAM"
"618","DAPP1"
"619","LIMCH1"
"620","NPAS2"
"621","SYCE1L"
"622","COBLL1"
"623","FTCD"
"624","NBL1"
"625","ZNF266"
"626","PPP1R14C"
"627","ACR"
"628","C21orf57"
"629","KIR2DS5"
"630","NR5A2"
"631","STEAP3"
"632","TXNDC8"
"633","IL7R"
"634","CDCP1"
"635","ATP1B2"
"636","GNAZ"
"637","PSKH2"
"638","KCNG2"
"639","FAM41C"
"640","PCOTH"
"641","LDLRAP1"
"642","ACER1"
"643","WDR66"
"644","NEU4"
"645","SCN5A"
"646","POU4F1"
"647","RP2"
"648","PCDHA1"
"649","CDH22"
"650","FRZB"
"651","PROS1"
"652","PRSS42"
"653","TREML3"
"654","PAWR"
"655","SEPT4"
"656","ZNF652"
"657","SERF2"
"658","PLA2R1"
"659","UNC119B"
"660","GRAMD2"
"661","GPR135"
"662","WASH5P"
"663","SLC30A2"
"664","NBPF4"
"665","CCL19"
"666","KRTAP5-9"
"667","NAV3"
"668","PLOD2"
"669","PAGE2"
"670","PIRT"
"671","SPRED2"
"672","OR1N2"
"673","RGS7"
